"場所ID","場所名稱","場所縣市","場所區域","場所地址","場所分類","場所類型","場所描述","AEDID","AED放置地點","AED地點描述","地點LAT","地點LNG","周一至周五起","周一至周五迄","周六起","周六迄","周日起","周日迄","開放使用時間備註","開放時間緊急連絡電話"
"19172","臺東縣長濱鄉衛生所","臺東縣","長濱鄉","臺東縣長濱鄉長濱村5鄰15號","其他","其他場所","","281","一樓候診區","放置於衛生所一樓候診區，位置明顯。","23.318852","121.453891","08:00:00","17:00:00","","","","","逢例假日及國定假日關閉。","089-831022"
"1274","修平科技大學","臺中市","大里區","臺中市大里區工業路11號","學校、大型集會場所","大專院校","","327","衛保組門外","位於校區內衛保組門外(F0013)崇禮堂B1,餐廳美食街","24.095313","120.71376","08:20:00","22:00:00","","","","","開放時間依照學校行事曆(上班時段)","04-24923963"
"1183","九族文化村股份有限公司","南投縣","魚池鄉","南投縣魚池鄉大林村金天巷45號","觀光旅遊地區","民營遊樂業","","422","文化廣場","文化廣場導覽機旁","23.868801","120.947549","09:30:00","17:00:00","09:30:00","17:30:00","09:30:00","17:30:00","全年無休","049-2895361"
"7814","日月潭國家風景區伊達邵遊客中心","南投縣","魚池鄉","南投縣魚池鄉日月村文化街127號","觀光旅遊地區","國家級風景區","","428","伊達邵遊客中心急診醫療站救護車","伊達邵遊客中心急診醫療站救護車","23.84867","120.929881","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","於颱風警報期間經南投縣政府宣布停止上班上課情形者除外","049-2850115"
"490","國立臺東專科學校","臺東縣","臺東市","臺東縣臺東市正氣北路889號","學校、大型集會場所","大專院校","","433","健康中心","保健室門口","22.757392","121.126084","08:00:00","17:30:00","","","","","","089-226389"
"16117","臺南市新營區衛生所","臺南市","新營區","臺南市新營區三民路72號","其他","其他場所","","487","一樓入口處","台南市新營區衛生所","23.307466","120.317153","11:39:00","11:39:00","","","","","","06-6355696"
"15596","桃園市復興區衛生所","桃園市","復興區","桃園市復興區澤仁里中正路25號","其他","其他場所","","556","桃園市復興區衛生所","本所進大門左側牆面","24.814848","121.350988","08:00:00","17:00:00","","","","","","03-3822325"
"782","國立中正大學","嘉義縣","民雄鄉","嘉義縣民雄鄉國立中正大學","學校、大型集會場所","大專院校","","575","駐警隊","校門口駐警隊","23.558421","120.472055","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","24小時全天候開放","05-2720411#11111"
"1558","南開科技大學","南投縣","草屯鎮","南投縣草屯鎮中正路568號","學校、大型集會場所","大專院校","","577","學生宿舍1樓廊道區","放置於學生宿舍1樓廊道區之牆邊〈書局外側〉","23.979233","120.696843","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","","0953-695695"
"3803","文藻外語大學","高雄市","三民區","高雄市三民區民族一路900號","學校、大型集會場所","大專院校","","578","正氣樓","正氣樓穿堂靠近樓梯處","22.670349","120.31914","08:00:00","17:00:00","","","","","","07-3429958"
