¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
114,1,0·³,9190,8689,17879
114,1,1·³,10778,10222,21000
114,1,2·³,11723,10993,22716
114,1,3·³,13163,12478,25641
114,1,4·³,13646,12774,26420
114,1,5·³,14914,13926,28840
114,1,6·³,15538,14676,30214
114,1,7·³,16591,15776,32367
114,1,8·³,17929,16757,34686
114,1,9·³,18501,17156,35657
114,1,10·³,18355,17333,35688
114,1,11·³,16528,15373,31901
114,1,12·³,20278,19045,39323
114,1,13·³,17300,16334,33634
114,1,14·³,14675,13346,28021
114,1,15·³,16964,15670,32634
114,1,16·³,17314,15866,33180
114,1,17·³,18113,16675,34788
114,1,18·³,18318,16576,34894
114,1,19·³,17656,16381,34037
114,1,20·³,19121,17109,36230
114,1,21·³,19648,17663,37311
114,1,22·³,21152,19426,40578
114,1,23·³,21843,20077,41920
114,1,24·³,26510,24474,50984
114,1,25·³,24527,22743,47270
114,1,26·³,22826,21308,44134
114,1,27·³,27419,25653,53072
114,1,28·³,27755,25706,53461
114,1,29·³,28190,26554,54744
114,1,30·³,27900,26250,54150
114,1,31·³,28813,26873,55686
114,1,32·³,28671,26517,55188
114,1,33·³,28735,26544,55279
114,1,34·³,30306,27951,58257
114,1,35·³,27539,26350,53889
114,1,36·³,30541,29395,59936
114,1,37·³,27207,26757,53964
114,1,38·³,25867,25890,51757
114,1,39·³,29851,29805,59656
114,1,40·³,32214,32512,64726
114,1,41·³,32724,33669,66393
114,1,42·³,34817,36176,70993
114,1,43·³,35967,37432,73399
114,1,44·³,35381,37184,72565
114,1,45·³,36643,38200,74843
114,1,46·³,35531,37446,72977
114,1,47·³,32838,35393,68231
114,1,48·³,36831,38835,75666
114,1,49·³,30614,33365,63979
114,1,50·³,30497,32848,63345
114,1,51·³,29826,32476,62302
114,1,52·³,29244,31960,61204
114,1,53·³,29931,32628,62559
114,1,54·³,30329,33424,63753
114,1,55·³,29878,33653,63531
114,1,56·³,29360,33616,62976
114,1,57·³,28063,31676,59739
114,1,58·³,28650,33651,62301
114,1,59·³,28898,34086,62984
114,1,60·³,29223,34220,63443
114,1,61·³,29945,35639,65584
114,1,62·³,28882,34201,63083
114,1,63·³,28258,33159,61417
114,1,64·³,28081,33499,61580
114,1,65·³,27091,32803,59894
114,1,66·³,26863,32501,59364
114,1,67·³,24840,30480,55320
114,1,68·³,25580,30970,56550
114,1,69·³,25290,30110,55400
114,1,70·³,23022,28566,51588
114,1,71·³,21961,26724,48685
114,1,72·³,21088,26050,47138
114,1,73·³,20633,25314,45947
114,1,74·³,17130,20944,38074
114,1,75·³,15376,19131,34507
114,1,76·³,12667,15747,28414
114,1,77·³,10928,13674,24602
114,1,78·³,8130,10353,18483
114,1,79·³,6623,8484,15107
114,1,80·³,7342,9476,16818
114,1,81·³,6843,9360,16203
114,1,82·³,6028,8520,14548
114,1,83·³,5519,7928,13447
114,1,84·³,4883,7453,12336
114,1,85·³,3957,6468,10425
114,1,86·³,3215,5443,8658
114,1,87·³,2672,4786,7458
114,1,88·³,2248,3922,6170
114,1,89·³,1898,3476,5374
114,1,90·³,1484,2812,4296
114,1,91·³,1335,2239,3574
114,1,92·³,1200,1782,2982
114,1,93·³,1051,1481,2532
114,1,94·³,943,1175,2118
114,1,95·³,740,935,1675
114,1,96·³,576,677,1253
114,1,97·³,385,527,912
114,1,98·³,277,384,661
114,1,99·³,250,265,515
114,1,100·³¥H¤W,479,498,977
Á`­p,,,1965067,2081497,4046564


              
