統計期,性別,總計,未滿1~4歲,未滿1歲,1歲,2歲,3歲,4歲,5~9歲,5歲,6歲,7歲,8歲,9歲,10~14歲,10歲,11歲,12歲,13歲,14歲,15~19歲,15歲,16歲,17歲,18歲,19歲,20~24歲,20歲,21歲,22歲,23歲,24歲,25~29歲,25歲,26歲,27歲,28歲,29歲,30~34歲,30歲,31歲,32歲,33歲,34歲,35~39歲,35歲,36歲,37歲,38歲,39歲,40~44歲,40歲,41歲,42歲,43歲,44歲,45~49歲,45歲,46歲,47歲,48歲,49歲,50~54歲,50歲,51歲,52歲,53歲,54歲,55~59歲,55歲,56歲,57歲,58歲,59歲,60~64歲,60歲,61歲,62歲,63歲,64歲,65~69歲,65歲,66歲,67歲,68歲,69歲,70~74歲,70歲,71歲,72歲,73歲,74歲,75~79歲,75歲,76歲,77歲,78歲,79歲,80~84歲,80歲,81歲,82歲,83歲,84歲,85~89歲,85歲,86歲,87歲,88歲,89歲,90~94歲,90歲,91歲,92歲,93歲,94歲,95~99歲,95歲,96歲,97歲,98歲,99歲,100歲以上
100年 1月底,總計,2622883,110174,19043,22505,22525,23661,22440,116964,22175,22244,22374,24647,25524,156575,31508,30485,28287,33539,32756,159469,34011,32234,31968,30992,30264,152846,32274,29443,33083,29455,28591,184810,32430,35349,36899,39104,41028,211068,41028,42616,42077,38765,46582,200317,39256,39641,39715,39926,41779,215038,43465,43519,43314,41811,42929,219435,43399,44456,44676,43863,43041,216495,43748,43633,44058,41723,43333,204632,42988,41339,40002,40078,40225,143072,34908,33229,28397,25847,20691,95292,17170,19624,20049,19472,18977,81011,18649,17365,15954,15056,13987,62512,13712,12668,12091,12180,11861,51331,11915,11077,10236,9436,8667,28865,7985,6394,5547,4806,4133,9920,3140,2441,1829,1454,1056,2552,792,639,474,455,192,505
100年 1月底,男,1264359,57091,9883,11611,11699,12220,11678,61169,11747,11750,11632,12865,13175,81652,16485,15929,14816,17443,16979,83015,17654,16796,16503,16148,15914,78456,16865,15237,16855,15176,14323,91072,16315,17710,18099,19222,19726,98211,19452,19897,19558,17785,21519,91132,17676,18022,18362,18119,18953,98159,19779,19713,19734,19086,19847,102484,20226,20701,20769,20556,20232,101316,20572,20320,20716,19397,20311,96870,20345,19615,18889,19021,19000,67063,16259,15436,13447,12138,9783,43386,7883,9038,9107,8951,8407,35329,8284,7623,6873,6493,6056,28997,5885,5733,5552,5833,5994,26957,6216,5809,5331,4977,4624,15268,4249,3345,2902,2621,2151,5159,1645,1297,945,726,546,1283,374,317,236,260,96,290
100年 1月底,女,1358524,53083,9160,10894,10826,11441,10762,55795,10428,10494,10742,11782,12349,74923,15023,14556,13471,16096,15777,76454,16357,15438,15465,14844,14350,74390,15409,14206,16228,14279,14268,93738,16115,17639,18800,19882,21302,112857,21576,22719,22519,20980,25063,109185,21580,21619,21353,21807,22826,116879,23686,23806,23580,22725,23082,116951,23173,23755,23907,23307,22809,115179,23176,23313,23342,22326,23022,107762,22643,21724,21113,21057,21225,76009,18649,17793,14950,13709,10908,51906,9287,10586,10942,10521,10570,45682,10365,9742,9081,8563,7931,33515,7827,6935,6539,6347,5867,24374,5699,5268,4905,4459,4043,13597,3736,3049,2645,2185,1982,4761,1495,1144,884,728,510,1269,418,322,238,195,96,215
100年 2月底,總計,2624791,110853,19217,22566,22601,23913,22556,116362,22051,22256,22218,24686,25151,156402,31232,30663,28247,33281,32979,159226,33647,32359,31960,31071,30189,152693,32086,29698,32991,29350,28568,184236,32192,35192,36699,38936,41217,211969,41160,42896,42296,38876,46741,200728,39569,39735,39775,39987,41662,214853,43299,43674,43283,42158,42439,219610,43287,44676,44311,43944,43392,216274,43130,43873,44295,41077,43899,204304,42363,41383,40490,39960,40108,145151,35743,32771,29058,25975,21604,94786,16927,19448,20028,19541,18842,81425,18683,17558,16072,15087,14025,62538,13691,12684,12122,12169,11872,51284,11807,11057,10214,9500,8706,28980,8000,6497,5539,4813,4131,10030,3193,2481,1853,1430,1073,2573,803,650,463,448,209,514
100年 2月底,男,1265280,57439,9969,11670,11717,12329,11754,60834,11663,11747,11580,12881,12963,81587,16326,16040,14810,17353,17058,82875,17451,16872,16548,16133,15871,78412,16762,15386,16825,15071,14368,90802,16179,17568,18095,19081,19879,98666,19456,20071,19668,17915,21556,91389,17882,18096,18372,18158,18881,98165,19769,19785,19731,19227,19653,102512,20170,20760,20617,20619,20346,101249,20316,20403,20786,19273,20471,96715,19998,19697,19118,18912,18990,68004,16658,15218,13726,12233,10169,43214,7822,8932,9076,9002,8382,35469,8297,7703,6936,6529,6004,28891,5886,5735,5567,5808,5895,26922,6175,5807,5306,4993,4641,15346,4274,3405,2881,2617,2169,5197,1654,1302,968,724,549,1299,386,332,222,250,109,293
100年 2月底,女,1359511,53414,9248,10896,10884,11584,10802,55528,10388,10509,10638,11805,12188,74815,14906,14623,13437,15928,15921,76351,16196,15487,15412,14938,14318,74281,15324,14312,16166,14279,14200,93434,16013,17624,18604,19855,21338,113303,21704,22825,22628,20961,25185,109339,21687,21639,21403,21829,22781,116688,23530,23889,23552,22931,22786,117098,23117,23916,23694,23325,23046,115025,22814,23470,23509,21804,23428,107589,22365,21686,21372,21048,21118,77147,19085,17553,15332,13742,11435,51572,9105,10516,10952,10539,10460,45956,10386,9855,9136,8558,8021,33647,7805,6949,6555,6361,5977,24362,5632,5250,4908,4507,4065,13634,3726,3092,2658,2196,1962,4833,1539,1179,885,706,524,1274,417,318,241,198,100,221
100年 3月底,總計,2627677,111967,20055,22621,22687,23979,22625,115939,22106,22151,22127,24500,25055,155980,30924,30615,28623,32951,32867,159426,33685,32457,31975,31103,30206,152623,31709,30254,32528,29472,28660,183892,31995,34999,36493,39133,41272,212674,41164,43121,42550,39451,46388,201563,40185,39855,39911,39970,41642,214796,43218,43523,43402,42315,42338,219425,43085,44551,44346,44123,43320,215566,42889,43749,44717,41099,43112,204644,42579,41600,40315,40027,40123,147229,35584,33449,29624,26336,22236,94389,16740,19227,20053,19554,18815,81662,18564,17746,16153,15146,14053,62554,13659,12752,12189,12015,11939,51228,11702,11023,10315,9419,8769,28989,7963,6496,5611,4803,4116,10066,3223,2493,1853,1424,1073,2562,802,635,468,438,219,503
100年 3月底,男,1266557,58036,10425,11734,11806,12310,11761,60680,11641,11768,11550,12807,12914,81356,16107,16046,14976,17221,17006,82917,17426,16960,16550,16144,15837,78400,16557,15705,16557,15137,14444,90576,16071,17444,17995,19211,19855,99079,19463,20200,19733,18242,21441,91916,18207,18152,18454,18209,18894,98162,19721,19690,19788,19347,19616,102342,19978,20827,20661,20675,20201,100979,20265,20344,20923,19386,20061,96806,20092,19782,19021,18929,18982,68964,16648,15523,13928,12424,10441,43046,7799,8790,9103,8949,8405,35577,8269,7800,6963,6550,5995,28794,5902,5703,5558,5714,5917,26805,6114,5741,5404,4920,4626,15320,4267,3376,2932,2586,2159,5225,1673,1304,967,730,551,1295,388,320,231,241,115,282
100年 3月底,女,1361120,53931,9630,10887,10881,11669,10864,55259,10465,10383,10577,11693,12141,74624,14817,14569,13647,15730,15861,76509,16259,15497,15425,14959,14369,74223,15152,14549,15971,14335,14216,93316,15924,17555,18498,19922,21417,113595,21701,22921,22817,21209,24947,109647,21978,21703,21457,21761,22748,116634,23497,23833,23614,22968,22722,117083,23107,23724,23685,23448,23119,114587,22624,23405,23794,21713,23051,107838,22487,21818,21294,21098,21141,78265,18936,17926,15696,13912,11795,51343,8941,10437,10950,10605,10410,46085,10295,9946,9190,8596,8058,33760,7757,7049,6631,6301,6022,24423,5588,5282,4911,4499,4143,13669,3696,3120,2679,2217,1957,4841,1550,1189,886,694,522,1267,414,315,237,197,104,221
100年 4月底,總計,2630285,112624,20448,22726,22732,24047,22671,115477,21983,22148,21989,24380,24977,155543,30560,30605,29074,32493,32811,159603,33689,32392,32032,31188,30302,152617,31481,30562,32108,29608,28858,183354,31722,34990,36392,39148,41102,213594,41591,43151,42896,39804,46152,202191,40521,40151,39875,40105,41539,214816,43246,43372,43709,42218,42271,219370,43035,44483,44241,44338,43273,215288,42982,43471,44726,41508,42601,204793,42722,41895,40378,39695,40103,148944,35617,32859,31146,26177,23145,94307,16672,19181,20123,19522,18809,81887,18556,17739,16411,15119,14062,62523,13657,12854,12142,11917,11953,51234,11686,10953,10337,9379,8879,28937,7752,6641,5652,4801,4091,10123,3280,2478,1853,1424,1088,2568,799,643,472,416,238,492
