"統計期","死因別","主要死亡原因順位","死亡人數/合計[人]","死亡人數/男[人]","死亡人數/女[人]","死亡率/合計[人/十萬人口]","死亡率/男[人/十萬人口]","死亡率/女[人/十萬人口]"
"81年","所有癌症死亡原因",1,2835,1809,1026,104.73,132.70,76.35
"81年","氣管、支氣管和肺癌",1,593,440,153,21.91,32.28,11.39
"81年","肝和肝內膽管癌",2,557,437,120,20.58,32.06,8.93
"81年","結腸、直腸和肛門癌",4,251,144,107,9.27,10.56,7.96
"81年","胃癌",3,306,203,103,11.30,14.89,7.66
"81年","女性乳房癌",6,110,0,110,8.19,0,8.19
"81年","子宮頸及部位未明示子宮癌",5,107,0,107,7.96,0,7.96
"81年","前列腺(攝護腺)癌",9,34,34,0,2.49,2.49,0
"81年","非何杰金氏淋巴瘤",11,85,53,32,3.14,3.89,2.38
"81年","胰臟癌",13,83,54,29,3.07,3.96,2.16
"81年","口腔癌",14,55,46,9,2.03,3.37,0.67
"81年","食道癌",8,75,68,7,2.77,4.99,0.52
"81年","膽囊和其他膽道癌",17,52,34,18,1.92,2.49,1.34
"81年","白血病",7,79,45,34,2.92,3.30,2.53
"81年","鼻咽癌",12,79,59,20,2.92,4.33,1.49
"81年","卵巢癌",15,33,0,33,2.46,0,2.46
"82年","所有癌症死亡原因",1,2868,1806,1062,107.23,134.32,79.84
"82年","氣管、支氣管和肺癌",1,560,399,161,20.94,29.68,12.10
"82年","肝和肝內膽管癌",2,554,416,138,20.71,30.94,10.38
"82年","結腸、直腸和肛門癌",3,296,167,129,11.07,12.42,9.70
"82年","胃癌",4,287,197,90,10.73,14.65,6.77
"82年","女性乳房癌",5,110,0,110,8.27,0,8.27
"82年","子宮頸及部位未明示子宮癌",6,92,0,92,6.92,0,6.92
"82年","前列腺(攝護腺)癌",10,40,40,0,2.97,2.97,0
"82年","非何杰金氏淋巴瘤",7,84,58,26,3.14,4.31,1.95
"82年","胰臟癌",9,81,52,29,3.03,3.87,2.18
"82年","口腔癌",15,58,50,8,2.17,3.72,0.60
"82年","食道癌",12,73,67,6,2.73,4.98,0.45
"82年","膽囊和其他膽道癌",14,65,34,31,2.43,2.53,2.33
"82年","白血病",8,82,53,29,3.07,3.94,2.18
"82年","鼻咽癌",0,76,54,22,2.84,4.02,1.65
"82年","卵巢癌",13,36,0,36,2.71,0,2.71
"83年","所有癌症死亡原因",1,2960,1848,1112,111.55,138.85,84.08
"83年","氣管、支氣管和肺癌",1,619,407,212,23.33,30.58,16.03
"83年","肝和肝內膽管癌",2,469,359,110,17.68,26.97,8.32
"83年","結腸、直腸和肛門癌",3,309,177,132,11.65,13.30,9.98
"83年","胃癌",4,294,199,95,11.08,14.95,7.18
"83年","女性乳房癌",5,134,0,134,10.13,0,10.13
"83年","子宮頸及部位未明示子宮癌",6,103,0,103,7.79,0,7.79
"83年","前列腺(攝護腺)癌",7,62,62,0,4.66,4.66,0
"83年","非何杰金氏淋巴瘤",8,93,63,30,3.50,4.73,2.27
"83年","胰臟癌",12,79,50,29,2.98,3.76,2.19
"83年","口腔癌",15,77,69,8,2.90,5.18,0.60
"83年","食道癌",10,81,76,5,3.05,5.71,0.38
"83年","膽囊和其他膽道癌",10,81,48,33,3.05,3.61,2.50
"83年","白血病",8,78,45,33,2.94,3.38,2.50
"83年","鼻咽癌",0,79,61,18,2.98,4.58,1.36
"83年","卵巢癌",16,29,0,29,2.19,0,2.19
"84年","所有癌症死亡原因",1,3180,1977,1203,120.31,149.38,91.16
"84年","氣管、支氣管和肺癌",1,615,414,201,23.27,31.28,15.23
"84年","肝和肝內膽管癌",2,570,436,134,21.56,32.94,10.15
"84年","結腸、直腸和肛門癌",3,329,191,138,12.45,14.43,10.46
"84年","胃癌",4,328,212,116,12.41,16.02,8.79
"84年","女性乳房癌",5,135,0,135,10.23,0,10.23
"84年","子宮頸及部位未明示子宮癌",6,108,0,108,8.18,0,8.18
"84年","前列腺(攝護腺)癌",7,51,51,0,3.85,3.85,0
"84年","非何杰金氏淋巴瘤",10,92,66,26,3.48,4.99,1.97
"84年","胰臟癌",9,97,63,34,3.67,4.76,2.58
"84年","口腔癌",13,78,73,5,2.95,5.52,0.38
"84年","食道癌",14,75,64,11,2.84,4.84,0.83
