年,總計,癌症,心臟疾病,腦血管疾病,糖尿病
2006,16403,4848,1507,1664,1031
2007,17417,5249,1765,1741,1093
2008,17787,5207,2025,1380,1095
2009,17773,5226,1829,1292,1180
2010,18311,5476,1787,1286,1152
2011,19582,5814,2066,1381,1264
2012,20170,6068,2178,1464,1241
2013,20507,6333,2473,1441,1278
2014,21711,6469,2820,1499,1287
2015,22086,6695,2978,1486,1205
2016,23190,6750,3135,1524,1249
2017,23601,6958,3346,1536,1214
2018,23970,7026,3685,1471,1133
2019,24921,7449,3533,1497,1215
2020,24535,7347,3743,1505,1332
2021,27109,7830,3822,1614,1652
2022,30759,8008,4291,1633,1731
2023,30004,8196,4036,1728,1562
