"統計期","再生能源發電量/總計[千度]","再生能源發電量/水力發電[千度]","再生能源發電量/垃圾焚化[千度]","再生能源發電量/沼氣發電[千度]","再生能源發電量/太陽光電[千度]","中央及台電發展再生能源臺北市用電量[千度]","再生能源發電之躉售件數[件]","再生能源發電之躉售容量[千瓦]","再生能源發電之躉售電量度數[千度]"
"100年",533914,0,0,0,0,647155,0,0,0
"101年",524164,0,0,0,0,772864,0,0,0
"102年",504134,0,0,0,0,777257,0,0,0
"103年",474996,0,0,0,0,692271,20,284,174
"104年",487227,0,0,0,0,729258,30,423,252
"105年",550202,0,0,0,0,889002,34,468,253
"106年",542478,0,0,0,0,846312,63,6029,3391
"107年",541058,214633,308681,4078,13666,846242,108,10902,10928
"108年",570635,208406,332362,3457,26410,1024488,181,19386,16426
"109年",537051,180875,323533,1952,30691,983581,247,33934,38422
"110年",586801,206899,340540,1722,37640,1081106,318,40775,41702
"111年",626127,223478,338244,1108,63297,1459407,473,65435,54349
"112年",575062,158311,324237,1041,91473,1702032,504,75340,73419
"113年",575940,176239,314685,956,84060,2108083,531,80502,76005

