機構名稱,縣市區名,地址,latitude,longitude
大衛牙醫診所,松山區,臺北市松山區富錦街527號,25.061206,121.565188
交通部民用航空局航空醫務中心,松山區,臺北市松山區敦化北路405巷123弄10號,,
漢浤堂健康中醫診所,松山區,臺北市松山區民生東路四段128號,,
政雄牙醫診所,松山區,臺北市松山區民生東路五段２４３號,,
春日和中醫診所,松山區,臺北市松山區復興北路81巷35號,,
嘉一牙醫診所,松山區,臺北市松山區新東街11巷3號,,
松新牙醫診所,松山區,臺北市松山區八德路4段687號,,
鉑金牙醫診所,松山區,臺北市松山區八德路3段164號,,
髮立現診所,松山區,臺北市松山區民生東路3段113巷6弄3號,,
恆美學診所,松山區,臺北市松山區南京東路4段56號,,
爾雅中醫診所,松山區,臺北市松山區慶城街24號,,
瑞麗嘉健康美學慶中診所,松山區,臺北市松山區南京東路3段259號,,
蘭瑞診所,松山區,臺北市松山區敦化南路1段25號,,
麥茵茲美形診所,松山區,臺北市松山區南京東路5段71號,,
欣百漢中醫診所,松山區,臺北市松山區南京東路5段80號,,
南京小岩井診所,松山區,臺北市松山區南京東路3段303巷8弄6號,,
大友牙醫診所,松山區,臺北市松山區撫遠街350之1號,,
佳斯緹牙醫診所,松山區,臺北市松山區民生東路3段113巷6弄5號,,
佳利安診所,松山區,臺北市松山區南京東路3段305號,,
守葳診所,松山區,臺北市松山區南京東路3段256巷46號,,
嬌妮美診所,松山區,臺北市松山區南京東路5段3號,,
弘宇診所,松山區,臺北市松山區民權東路3段160巷2之6號,,
君綺國際診所,松山區,臺北市松山區敦化南路1段25號,,
佳思優醫美整形診所,松山區,臺北市松山區敦化北路8號,,
勤美民生牙醫診所,松山區,臺北市松山區民生東路5段58號,,
怡德牙醫診所,松山區,臺北市松山區八德路4段226號,,
韓后國際健康醫美診所,松山區,臺北市松山區復興北路69號,,
誠楷牙醫診所,松山區,臺北市松山區敦化南路1段7號,,
宥全診所,松山區,臺北市松山區民生東路5段216號,,
余內科診所,松山區,臺北市松山區八德路四段６４６號,,
周玄文診所,松山區,臺北市松山區民權東路三段１６０巷１９弄６號,,
渼生堂中醫診所,松山區,臺北市松山區八德路3段138號,,
微風牙醫診所,松山區,臺北市松山區復興南路1段51號,,
博飛迅牙醫診所,松山區,臺北市松山區八德路4段666號,,
