git年份,性別,縣市,癌症類別,發生率,癌症發生數,平均年齡,年齡中位數,粗率 (每10萬人口)
2018,全,台北市,口腔、口咽及下咽,11.57,518 ,61.09,61.0,19.41
2018,全,台北市,主唾液腺,0.86,39 ,62.51,62.0,1.46
2018,全,台北市,鼻咽,3.9,148 ,54.18,53.0,5.55
2018,全,台北市,食道,4.24,204 ,64.63,63.0,7.64
2018,全,台北市,胃,10.75,562 ,70.6,70.5,21.06
2018,全,台北市,小腸,0.95,42 ,62.19,60.0,1.57
2018,全,台北市,結直腸,36.77,"1,838 ",68.11,68.0,68.88
2018,全,台北市,肝及肝內膽管,19.32,973 ,68.64,69.0,36.46
2018,全,台北市,膽囊及肝外膽管,2.18,118 ,72.86,73.5,4.42
2018,全,台北市,胰,7.15,369 ,70.56,70.0,13.83
2018,全,台北市,後腹膜腔及腹膜,1.18,53 ,64.09,65.0,1.99
2018,全,台北市,消化器官其他分界不明部位,0.01,1 ,92.0,92.0,0.04
2018,全,台北市,鼻腔、中耳及副鼻竇,0.74,28 ,55.71,56.0,1.05
2018,全,台北市,喉,1.34,67 ,68.84,70.0,2.51
2018,全,台北市,肺、支氣管及氣管,39.59,"1,943 ",66.93,67.0,72.81
2018,全,台北市,胸膜,0.2,10 ,67.6,67.5,0.37
2018,全,台北市,胸腺、心臟與中隔,2.47,91 ,54.79,54.0,3.41
2018,全,台北市,骨、關節及關節軟骨,0.64,17 ,44.53,45.0,0.64
2018,全,台北市,結締組織、皮下組織及其他軟組織,2.28,91 ,58.98,59.0,3.41
2018,全,台北市,皮膚,6.64,354 ,71.97,74.0,13.27
2018,全,台北市,膀胱,4.22,232 ,73.19,73.5,8.69
2018,全,台北市,腎,4.93,218 ,61.58,62.0,8.17
2018,全,台北市,腎盂及其他泌尿系統,3.12,166 ,72.07,74.0,6.22
2018,全,台北市,眼及淚腺,0.06,3 ,64.67,62.0,0.11
2018,全,台北市,腦,2.38,80 ,55.1,62.0,3.0
2018,全,台北市,其他神經系統,0.3,9 ,50.11,49.0,0.34
2018,全,台北市,甲狀腺,15.09,529 ,50.35,50.0,19.82
2018,全,台北市,其他內分泌腺,0.99,29 ,43.83,53.0,1.09
2018,全,台北市,其他分界不明的部位,0.07,3 ,68.33,79.0,0.11
2018,全,台北市,不明原發部位,1.59,86 ,72.26,74.0,3.22
2018,全,台北市,何杰金氏淋巴瘤,1.78,42 ,36.93,31.0,1.57
2018,全,台北市,白血病,7.95,314 ,60.79,65.0,11.77
2018,全,台北市,非何杰金氏淋巴瘤,7.95,369 ,65.07,66.0,13.83
2018,全,台北市,漿細胞瘤,2.04,102 ,68.94,70.0,3.82
2018,全,台北市,全癌症,297.13,"13,682 ",64.45,65.0,512.71
2018,全,新北市,口腔、口咽及下咽,20.08,"1,260 ",57.88,57.0,31.53
2018,全,新北市,主唾液腺,0.98,56 ,54.95,55.0,1.4
2018,全,新北市,鼻咽,5.03,288 ,52.97,53.0,7.21
2018,全,新北市,食道,6.61,428 ,60.3,59.0,10.71
2018,全,新北市,胃,11.21,729 ,67.67,67.0,18.24
2018,全,新北市,小腸,1.19,73 ,61.58,63.0,1.83
