年別,女性乳房攝影檢查人數,年齡別＿30歲以下,年齡別＿31－40歲,年齡別＿41－50歲,年齡別＿51－65歲,年齡別＿65歲以上,臺北業務組,北區業務組,中區業務組,南區業務組,高屏業務組,東區業務組,臺北業務組＿新北市,臺北業務組＿臺北市,臺北業務組＿基隆市,臺北業務組＿宜蘭縣,臺北業務組＿金門縣,臺北業務組＿連江縣,北區業務組＿桃園市,北區業務組＿新竹市,北區業務組＿新竹縣,北區業務組＿苗栗縣,中區業務組＿臺中市,中區業務組＿彰化縣,中區業務組＿南投縣,南區業務組＿臺南市,南區業務組＿嘉義市,南區業務組＿雲林縣,南區業務組＿嘉義縣,高屏業務組＿高雄市,高屏業務組＿屏東縣,高屏業務組＿澎湖縣,東區業務組＿花蓮縣,東區業務組＿臺東縣
93,163807,3352,23596,67992,57376,11491,66853,14798,33448,12469,32276,4591,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
94,159966,2819,22062,66816,56739,11530,66881,12903,30355,13459,33595,3324,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
95,156566,2322,19966,62733,58721,12824,66740,12769,29446,14042,31440,2598,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
96,177162,2550,21549,70976,67003,15084,73336,15477,33227,16932,35973,2742,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
97,180423,2743,21580,72234,67597,16269,77294,14721,32042,17363,36970,2537,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
98,198217,2952,23383,79076,74516,18290,83550,17199,33623,20385,41053,2942,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
99,183963,2347,19809,68352,73924,19531,71544,14797,26881,28978,39469,2677,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
100,168153,1868,17613,60450,68922,19300,69219,13427,24886,24520,34234,2235,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
101,171713,1600,16788,59788,73622,19915,69111,13639,25284,28540,33428,2077,9168,54009,903,4963,249,25,8912,2557,185,2003,18423,5862,1083,10935,14404,1499,1817,29804,3506,171,1567,513
102,177564,1478,17159,60430,76850,21647,73074,15055,25873,27734,34203,1972,10557,56198,835,5469,229,27,9655,3136,238,2054,18852,6086,997,12184,12367,1189,2066,30285,3778,205,1528,446
103,183098,1458,16668,59153,82260,23559,74040,16068,25841,30060,35431,1996,10794,57415,915,4964,184,19,10314,3218,291,2271,18911,6083,930,12334,14332,1461,2039,31653,3704,136,1607,392
104,188047,1491,16923,58620,84800,26213,75794,17781,25620,30139,36757,2329,10755,58823,1076,5200,188,22,11478,3776,188,2365,18537,6214,939,12749,13665,1628,2210,33138,3609,87,1725,609
105,192088,1492,16827,57684,87738,28347,79170,19058,26848,31181,33715,2488,11375,61617,1176,5028,193,19,12136,4616,191,2144,19279,6627,1016,12811,14377,1750,2343,30858,2815,90,1772,717
106,210356,1688,17631,63143,94777,33117,87259,22327,30586,32427,35339,2820,12944,67786,1309,5271,210,22,14131,5761,166,2308,22740,6948,997,14632,13562,1829,2529,32239,3069,99,1892,933
107,217494,1624,17235,63715,98045,36875,91315,23204,32710,33776,33920,2967,14707,69968,1383,5264,257,29,15325,5616,151,2143,24510,7377,903,15080,14206,2099,2485,30814,3051,93,2038,936
108,223244,1538,16416,64128,100697,40465,94427,23926,32806,35225,34120,3163,16061,71910,1450,5004,237,36,15439,5871,387,2270,24756,7274,832,16210,14389,2209,2489,31030,3035,85,2238,928
109,226730,1644,16183,64748,101392,42763,96105,23769,33211,36140,34395,3490,16566,73243,1426,4831,240,44,16096,5803,817,1260,25141,7181,945,16903,14361,2437,2525,31557,2764,103,2351,1142
110,223530,1569,15367,63533,99046,44015,93344,22370,34674,35484,34602,3453,16458,70924,1305,4565,321,67,15364,5373,1183,627,25903,7714,1126,17644,12810,2604,2477,32145,2369,120,2460,998
111,224584,1593,15439,63897,99489,44166,93533,22526,34906,35577,34967,3448,16535,71048,1298,4570,322,67,15509,5368,1185,637,26021,7825,1130,17642,12880,2608,2500,32482,2397,120,2457,995
112,277172,1749,17844,79411,119934,58234,119946,29533,42498,42592,39396,3739,22865,89663,1747,5691,311,87,20316,6349,2571,1028,31724,9567,1294,21644,14640,2948,3470,36125,3170,157,2873,878
