鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,手術恢復床,嬰兒床,血液透析床
101,6,1434,938,496,189,799,139,749,50,0,139,0,0,0,57,0,37,69,0,0,84,0,0,0,15,92,142
102,5,1450,1066,384,0,1066,0,1066,0,0,0,0,0,0,60,4,23,63,3,0,37,0,0,0,19,52,123
109,2,3533,2663,870,594,2488,175,2069,419,0,175,0,0,0,182,2,40,136,12,20,186,40,0,0,29,70,153
110,4,1371,873,498,0,853,20,853,0,20,0,0,0,0,98,8,60,40,0,0,125,10,0,0,10,76,71
111,3,2185,1632,553,118,1632,0,1514,118,0,0,0,0,0,121,11,46,49,23,15,72,24,0,0,40,46,106
112,1,35,30,5,0,30,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
115,1,919,586,333,25,586,0,561,25,0,0,0,0,0,74,4,25,61,0,0,0,0,0,0,15,49,105
116,5,5020,4204,816,600,3896,308,3513,383,91,217,0,0,0,331,10,41,103,6,36,54,28,0,0,52,39,116
117,2,837,545,292,25,545,0,520,25,0,0,0,0,0,59,0,17,21,0,20,72,15,0,0,13,15,60
118,3,2672,2066,606,68,2066,0,1998,68,0,0,0,0,0,240,14,48,122,6,17,0,15,0,0,54,20,70
119,5,514,338,176,0,238,100,238,0,100,0,0,0,0,14,0,0,10,2,0,0,0,0,0,4,16,130
120,2,849,592,257,38,592,0,554,38,0,0,0,0,0,50,4,10,30,6,10,60,10,0,0,8,15,54
301,11,1151,750,401,26,705,45,679,26,45,0,0,0,0,49,4,10,31,2,0,122,15,0,0,10,45,113
302,2,193,126,67,0,96,30,96,0,30,0,0,0,0,7,0,0,3,0,0,0,0,0,0,2,0,55
303,2,250,176,74,0,176,0,176,0,0,0,0,0,0,35,0,2,7,0,0,0,0,0,0,3,5,22
304,2,450,450,0,450,80,370,0,80,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,1164,857,307,50,795,62,745,50,62,0,0,0,0,87,0,16,34,0,10,40,10,0,0,12,20,78
306,3,1524,1031,493,179,831,200,752,79,100,100,0,0,0,90,10,20,31,10,0,165,40,0,0,6,20,101
309,1,921,740,181,30,380,360,350,30,360,0,0,0,0,49,0,10,22,4,18,0,10,0,0,10,6,52
310,2,265,161,104,0,161,0,161,0,0,0,0,0,0,12,0,0,8,0,0,58,0,0,0,3,0,23
312,1,295,295,0,295,40,255,0,40,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,1,99,44,55,0,44,0,44,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,1,0,13
318,3,194,99,95,0,99,0,99,0,0,0,0,0,0,0,0,0,8,0,0,55,0,0,0,2,0,30
319,3,1084,933,151,276,783,150,657,126,0,150,0,0,0,47,4,7,23,0,0,0,0,0,0,8,15,47
320,3,736,528,208,0,528,0,528,0,0,0,0,0,0,40,0,10,26,4,0,30,10,0,0,11,12,65
322,3,512,340,172,0,340,0,340,0,0,0,0,0,0,33,0,9,10,8,0,63,0,0,0,5,15,29
323,3,284,133,151,0,133,0,133,0,0,0,0,0,0,0,0,16,3,0,0,20,0,0,0,2,45,65
324,3,982,798,184,440,448,350,358,90,0,350,0,0,0,31,4,7,10,4,0,30,10,31,0,6,15,36
325,4,1499,1189,310,269,1025,164,920,105,0,164,0,0,0,95,5,20,37,11,0,20,16,0,0,23,25,58
326,7,2740,1995,745,295,1785,210,1700,85,0,210,0,0,0,168,6,50,74,3,18,105,59,0,0,28,53,181
327,2,2182,1545,637,70,1545,0,1475,70,0,0,0,0,0,209,8,36,120,15,18,40,22,0,0,45,45,79
328,3,796,510,286,0,510,0,510,0,0,0,0,0,0,54,0,17,20,2,0,60,15,0,0,5,33,80
329,6,325,259,66,0,189,70,189,0,70,0,0,0,0,0,0,0,7,0,0,40,0,0,0,4,0,15
501,4,502,305,197,100,205,100,205,0,0,100,0,0,0,16,0,0,14,0,0,99,0,0,0,3,0,65
503,1,75,20,55,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,25
504,1,329,249,80,0,249,0,249,0,0,0,0,0,0,20,0,10,5,0,0,0,0,0,0,4,12,29
505,2,338,188,150,0,186,2,186,0,2,0,0,0,0,27,0,0,9,0,0,54,0,0,0,2,2,56
506,2,291,280,11,200,63,217,63,0,17,200,0,0,0,4,0,0,6,0,0,0,0,0,0,1,0,0
507,2,77,40,37,0,40,0,40,0,0,0,0,0,0,0,0,0,2,0,0,30,0,0,0,0,5,0
509,1,882,652,230,0,652,0,652,0,0,0,0,0,0,67,0,8,37,6,22,0,20,0,0,13,7,50
519,1,99,99,0,79,20,79,20,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,2,604,602,2,500,284,318,102,182,0,318,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
531,4,2100,1560,540,158,1090,470,1052,38,350,120,0,0,0,120,10,28,86,8,15,100,16,0,0,12,20,125
532,3,1059,681,378,24,681,0,657,24,0,0,0,0,0,76,0,20,53,2,15,60,12,0,0,20,45,75
533,1,40,40,0,40,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,6,1361,914,447,154,834,80,750,84,10,70,0,0,0,72,0,13,18,26,12,135,0,0,0,9,22,140
535,5,1404,1026,378,30,1016,10,986,30,10,0,0,0,0,124,14,18,60,6,20,20,12,0,0,12,40,52
701,8,478,249,229,0,249,0,249,0,0,0,0,0,0,16,0,0,15,9,0,108,0,0,0,3,22,56
702,6,612,441,171,128,361,80,283,78,30,50,0,0,0,9,0,0,32,3,0,39,0,0,0,8,6,74
703,5,559,350,209,120,250,100,230,20,0,100,0,0,0,20,0,0,17,0,0,80,0,10,0,4,6,72
704,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
705,2,290,212,78,0,212,0,212,0,0,0,0,0,0,15,0,0,8,0,0,24,0,0,0,2,0,29
706,3,370,344,26,299,115,229,45,70,0,229,0,0,0,0,0,0,4,1,0,0,0,0,0,1,20,0
710,1,2715,2001,714,250,1538,463,1388,150,363,100,0,0,0,203,14,40,130,55,10,0,20,0,0,20,30,192
711,1,60,36,24,0,36,0,36,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0
712,2,1464,1130,334,230,980,150,900,80,0,150,0,0,0,84,4,15,80,23,0,0,10,0,0,21,15,82
714,1,26,20,6,0,20,0,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
715,2,82,50,32,0,50,0,50,0,0,0,0,0,0,0,0,0,2,0,0,30,0,0,0,0,0,0
729,5,653,342,311,0,342,0,342,0,0,0,0,0,0,41,0,12,45,0,0,70,0,0,0,11,50,82
730,5,2238,1608,630,138,1558,50,1470,88,0,50,0,0,0,132,46,24,74,94,20,24,16,0,0,38,92,70
731,4,444,336,108,0,270,66,270,0,66,0,0,0,0,16,0,0,5,0,0,30,0,0,0,4,12,41
732,13,2361,1563,798,41,1563,0,1522,41,0,0,0,0,0,153,13,24,76,11,20,122,0,0,0,37,137,205
733,7,278,170,108,39,159,11,120,39,11,0,0,0,0,0,0,0,4,0,0,74,0,0,0,2,10,18
734,7,749,578,171,0,578,0,578,0,0,0,0,0,0,22,0,6,32,0,0,40,0,0,0,11,28,32
735,9,2837,2177,660,769,1818,359,1299,519,109,250,0,0,0,151,0,27,88,14,11,102,15,0,58,26,59,109
736,5,289,171,118,0,171,0,171,0,0,0,0,0,0,0,0,2,6,1,0,38,0,0,0,4,67,0
737,1,72,46,26,0,25,21,25,0,21,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20
738,4,657,434,223,0,434,0,434,0,0,0,0,0,0,20,4,10,31,0,0,65,0,0,0,10,25,58
1101,2,139,119,20,90,59,60,29,30,0,60,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
1103,1,127,48,79,0,48,0,48,0,0,0,0,0,0,6,0,0,6,0,0,54,0,0,0,1,2,10
1104,1,184,127,57,0,100,27,100,0,27,0,0,0,0,8,0,0,4,0,0,30,0,0,0,0,0,15
1106,2,1240,972,268,172,834,138,800,34,0,138,0,0,0,63,2,9,30,7,12,0,10,0,0,6,15,114
1107,2,545,357,188,32,357,0,325,32,0,0,0,0,0,40,0,5,20,2,0,64,0,0,0,5,15,37
1201,3,1059,740,319,0,740,0,740,0,0,0,0,0,0,65,0,43,73,0,0,0,10,0,0,21,45,62
1204,5,1231,861,370,117,811,50,694,117,50,0,0,0,0,57,4,15,52,9,6,103,0,0,0,7,35,82
2201,4,2147,1480,667,143,1310,170,1237,73,100,70,0,0,0,169,8,38,83,11,24,55,19,0,0,27,51,182
2202,8,1544,1059,485,300,654,405,579,75,180,225,0,0,0,76,0,1,23,8,0,251,0,0,0,10,7,109
3101,8,1649,966,683,28,966,0,938,28,0,0,0,0,0,94,4,22,56,8,0,200,46,0,0,16,35,202
3102,5,815,461,354,0,461,0,461,0,0,0,0,0,0,44,0,0,43,7,0,154,0,0,0,7,6,93
3103,4,535,310,225,0,310,0,310,0,0,0,0,0,0,24,0,8,13,3,0,87,0,0,0,7,32,51
3104,7,1202,825,377,35,825,0,790,35,0,0,0,0,0,66,0,12,42,6,10,114,0,0,0,13,28,86
3105,6,2204,1529,675,240,1188,341,1089,99,200,141,0,0,0,150,0,28,87,10,35,103,40,0,0,36,48,138
3106,8,1732,1262,470,252,740,522,670,70,40,182,0,300,0,43,0,7,48,12,0,255,0,0,0,3,13,89
3107,1,213,148,65,0,148,0,148,0,0,0,0,0,0,12,0,0,8,2,0,20,0,0,0,1,0,22
3108,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3109,3,593,430,163,51,342,88,342,0,37,51,0,0,0,36,0,15,33,7,0,0,0,0,0,11,25,36
3110,5,2031,1796,235,947,963,833,849,114,0,833,0,0,0,59,0,15,35,3,38,0,10,0,0,12,10,53
3111,1,626,465,161,25,465,0,440,25,0,0,0,0,0,37,0,12,31,6,13,0,0,0,0,10,16,36
3112,1,45,39,6,0,39,0,39,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0
3113,4,355,155,200,0,155,0,155,0,0,0,0,0,0,10,0,0,5,0,0,168,0,0,0,2,0,15
3114,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,3,1,0,17,0,0,0,0,0,0
