name,title
鄉鎮市區碼,鄉鎮市區碼
醫院家數,醫院家數
病床總計,病床總計
一般病床小計,一般病床小計
特殊病床小計,特殊病床小計
精神病床小計,精神病床小計
急性病床小計,急性病床小計
慢性病床小計,慢性病床小計
急性一般病床,急性一般病床
精神急性一般病床,精神急性一般病床
慢性一般病床,慢性一般病床
精神慢性一般病床,精神慢性一般病床
慢性結核病床,慢性結核病床
漢生病病床,漢生病病床
國際醫療病床,國際醫療病床
加護病床,加護病床
燒傷病床,燒傷病床
燒傷加護病床,燒傷加護病床
嬰兒病床,嬰兒病床
急診觀察床,急診觀察床
其他觀察病床,其他觀察病床
安寧病床,安寧病床
慢性呼吸照護病床,慢性呼吸照護病床
亞急性呼吸照護病床,亞急性呼吸照護病床
急性結核病床,急性結核病床
精神科加護病床,精神科加護病床
普通隔離病床,普通隔離病床
正壓隔離病床,正壓隔離病床
負壓隔離病床,負壓隔離病床
骨髓移植病床,骨髓移植病床
性侵害犯罪加害人強制治療病床,性侵害犯罪加害人強制治療病床
手術恢復床,手術恢復床
嬰兒床,嬰兒床
血液透析床,血液透析床
腹膜透析床,腹膜透析床
