鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,急性後期照護病床,整合醫學急診後送病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床
101,5,1301,848,453,153,745,103,695,50,0,103,0,0,0,54,0,0,33,51,0,0,84,0,0,0,0,10,0,0,0,0,16,67,138,0
102,5,1402,1013,389,0,1013,0,1013,0,0,0,0,0,0,62,0,4,23,63,0,0,37,8,0,0,0,2,0,0,0,0,19,52,119,0
109,1,3065,2259,806,498,2126,133,1761,365,0,133,0,0,0,170,0,0,35,80,11,16,179,12,12,13,0,33,0,0,0,0,26,50,169,0
110,4,1278,824,454,0,804,20,804,0,20,0,0,0,0,100,0,8,55,39,0,0,90,0,0,20,9,2,0,0,0,0,12,71,48,0
111,3,2167,1574,593,118,1574,0,1456,118,0,0,0,0,0,128,8,3,46,42,2,15,112,24,0,0,1,18,2,0,0,0,40,46,106,0
115,1,832,543,289,25,543,0,518,25,0,0,0,0,0,62,0,3,21,40,0,8,0,8,0,0,0,2,0,0,0,0,15,25,105,0
116,6,5105,4132,973,680,3848,284,3385,463,67,217,0,0,0,311,14,12,41,97,6,34,32,28,0,90,33,21,11,0,0,0,54,39,150,0
117,2,828,545,283,25,545,0,520,25,0,0,0,0,0,58,0,0,17,25,0,20,72,0,0,0,0,4,0,0,0,0,12,15,60,0
118,3,2673,1891,782,68,1891,0,1823,68,0,0,0,0,0,260,10,4,48,122,0,17,0,15,0,94,1,51,14,0,0,0,56,20,70,0
119,4,439,248,191,0,169,79,169,0,79,0,0,0,0,8,0,0,0,10,8,0,30,0,0,0,0,0,0,0,0,0,4,3,127,1
120,2,861,592,269,38,592,0,554,38,0,0,0,0,0,47,4,0,10,29,6,10,60,10,0,0,0,12,0,0,0,0,12,15,54,0
301,11,1117,736,381,12,691,45,679,12,45,0,0,0,0,49,0,0,8,31,2,0,122,15,0,0,0,0,0,0,0,0,10,28,116,0
302,1,93,54,39,0,54,0,54,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0
303,3,393,332,61,99,269,63,233,36,0,63,0,0,0,21,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,3,5,22,1
304,2,450,450,0,450,80,370,0,80,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,1149,857,292,50,795,62,745,50,62,0,0,0,0,85,0,0,16,21,0,10,40,10,0,0,0,0,0,0,0,0,12,20,78,0
306,3,1415,944,471,180,744,200,664,80,100,100,0,0,0,90,0,10,20,31,10,0,140,20,0,0,0,0,0,0,0,0,10,20,120,0
309,1,1130,909,221,50,549,360,499,50,360,0,0,0,0,55,0,0,5,22,4,18,0,12,0,0,0,1,0,0,0,0,10,6,88,0
310,1,232,137,95,0,137,0,137,0,0,0,0,0,0,12,0,0,0,5,0,0,38,0,0,0,0,0,0,0,0,0,2,0,38,0
312,1,248,248,0,248,40,208,0,40,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,2,217,143,74,0,143,0,143,0,0,0,0,0,0,0,0,0,0,6,0,0,52,0,0,0,0,0,0,0,0,0,3,0,13,0
318,4,390,246,144,0,246,0,246,0,0,0,0,0,0,12,0,0,3,18,0,0,55,0,0,0,0,0,0,0,0,0,5,5,46,0
319,4,1085,922,163,276,772,150,646,126,0,150,0,0,0,51,0,0,4,31,0,0,0,0,0,0,0,2,0,0,0,0,10,4,61,0
320,3,685,516,169,0,516,0,516,0,0,0,0,0,0,40,0,0,10,16,4,0,0,10,0,0,0,4,0,0,0,0,11,9,65,0
322,3,505,331,174,0,331,0,331,0,0,0,0,0,0,34,0,0,9,10,8,0,63,0,0,0,0,1,0,0,0,0,5,15,29,0
323,3,262,114,148,0,114,0,114,0,0,0,0,0,0,0,0,0,16,3,0,0,20,0,0,0,0,0,0,0,0,0,2,38,69,0
324,3,998,828,170,440,478,350,388,90,0,350,0,0,0,26,0,4,7,6,4,6,30,10,0,0,0,20,0,0,0,0,6,15,36,0
325,4,1441,1072,369,264,933,139,808,125,0,139,0,0,0,113,5,0,30,37,11,20,20,16,0,0,0,11,0,0,0,0,23,25,58,0
326,8,2682,1952,730,295,1742,210,1657,85,0,210,0,0,0,173,0,8,58,76,0,18,60,59,0,0,0,6,2,0,0,0,35,50,185,0
327,2,2255,1545,710,70,1545,0,1475,70,0,0,0,0,0,203,0,8,36,100,15,18,40,22,0,0,19,20,0,0,0,40,45,45,99,0
328,3,802,510,292,0,510,0,510,0,0,0,0,0,0,54,0,0,17,20,2,0,60,15,0,0,2,1,0,0,0,0,8,33,80,0
329,7,396,291,105,0,221,70,221,0,70,0,0,0,0,0,0,0,0,6,0,2,60,0,0,0,0,0,0,0,0,0,6,16,15,0
501,4,457,284,173,100,184,100,184,0,0,100,0,0,0,16,0,0,0,14,0,0,89,0,0,0,0,0,0,0,0,0,3,0,50,1
503,1,50,20,30,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
504,1,376,298,78,0,298,0,298,0,0,0,0,0,0,20,0,0,5,5,0,0,0,0,0,0,0,2,0,0,0,0,4,12,30,0
505,2,347,188,159,0,186,2,186,0,2,0,0,0,0,27,0,0,0,20,4,0,46,0,0,0,0,2,0,0,0,0,2,0,58,0
506,2,275,264,11,200,47,217,47,0,17,200,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
507,1,26,20,6,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
509,1,877,642,235,0,642,0,642,0,0,0,0,0,0,67,0,0,8,24,6,22,0,20,0,1,5,4,0,0,0,0,13,7,58,0
527,2,607,549,58,498,231,318,51,180,0,318,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,51,0,0,0,0,0,0,0,0
529,1,35,20,15,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
531,5,2067,1490,577,158,1131,359,1093,38,239,120,0,0,0,119,0,8,32,86,20,15,90,16,0,3,1,3,2,0,0,0,16,52,114,0
532,3,1006,681,325,24,681,0,657,24,0,0,0,0,0,72,0,0,11,34,2,15,60,12,0,0,0,2,0,0,0,0,15,27,75,0
533,1,40,40,0,40,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,7,1369,898,471,120,818,80,768,50,10,70,0,0,0,58,0,0,15,24,26,12,123,12,0,0,0,2,0,0,0,0,11,46,140,2
535,5,1478,1026,452,30,1016,10,986,30,10,0,0,0,0,126,4,10,23,75,6,20,20,12,2,22,6,20,2,0,0,0,12,40,52,0
537,1,620,447,173,40,447,0,407,40,0,0,0,0,0,30,0,0,0,21,36,0,0,20,0,0,2,0,0,0,0,0,3,16,45,0
701,7,466,239,227,0,239,0,239,0,0,0,0,0,0,16,0,0,0,16,0,0,107,0,0,0,0,0,0,0,0,0,6,22,60,0
702,6,550,389,161,108,309,80,251,58,30,50,0,0,0,7,0,0,0,25,3,6,35,0,0,0,0,0,0,0,0,0,7,6,72,0
703,5,583,377,206,140,277,100,237,40,0,100,0,0,0,21,0,0,0,9,0,0,74,0,0,0,0,10,0,0,0,0,5,5,81,1
704,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,2,293,213,80,0,213,0,213,0,0,0,0,0,0,15,0,0,0,8,0,0,25,0,0,1,0,0,0,0,0,0,2,0,29,0
706,3,370,344,26,299,115,229,45,70,0,229,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0
