鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,急性後期照護病床,整合醫學急診後送病床,戒護病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床
101,5,1272,830,442,153,727,103,677,50,0,103,0,0,0,50,0,0,33,51,0,0,84,0,0,0,0,10,0,0,0,0,0,19,57,138,0
102,6,1759,1256,503,0,1256,0,1256,0,0,0,0,0,0,109,0,4,23,61,0,0,37,0,0,0,0,16,30,0,0,0,0,41,50,132,0
109,1,2976,2213,763,498,2080,133,1715,365,0,133,0,0,0,128,0,0,30,80,11,27,185,0,12,14,0,33,0,0,0,0,0,26,50,167,0
110,4,1132,804,328,0,784,20,784,0,20,0,0,0,0,92,0,8,55,39,0,0,0,0,0,14,0,2,2,0,0,0,0,16,62,38,0
111,4,2344,1670,674,118,1670,0,1552,118,0,0,0,0,0,147,8,3,46,47,2,15,152,24,0,0,0,18,2,0,0,0,0,41,46,123,0
115,1,829,543,286,25,543,0,518,25,0,0,0,0,0,62,0,3,21,36,0,8,0,8,0,0,0,2,0,0,0,0,0,16,25,105,0
116,6,4844,3907,937,664,3623,284,3176,447,67,217,0,0,0,282,14,12,42,89,0,44,32,28,0,82,33,18,10,0,0,0,0,58,37,156,0
117,1,727,525,202,25,525,0,500,25,0,0,0,0,0,59,0,0,12,25,0,10,0,0,0,0,0,8,0,0,0,0,0,18,10,60,0
118,3,2623,1898,725,68,1898,0,1830,68,0,0,0,0,0,229,10,4,46,120,0,17,0,14,0,94,1,51,8,0,0,0,0,59,20,52,0
119,4,409,245,164,0,166,79,166,0,79,0,0,0,0,8,0,0,0,9,0,0,30,0,0,0,0,0,0,0,0,0,0,7,3,106,1
120,2,841,592,249,38,592,0,554,38,0,0,0,0,0,49,4,0,10,29,6,10,30,10,0,0,0,12,0,0,0,0,0,13,15,61,0
301,10,1084,753,331,40,708,45,668,40,45,0,0,0,0,52,0,0,8,20,10,6,70,9,0,0,0,0,0,0,0,0,0,15,28,113,0
302,1,93,54,39,0,54,0,54,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0
303,3,440,380,60,99,317,63,281,36,0,63,0,0,0,21,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,22,1
304,2,450,450,0,450,80,370,0,80,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,1149,857,292,50,795,62,745,50,62,0,0,0,0,85,0,0,16,21,0,10,40,10,0,0,0,0,0,0,0,0,0,12,20,78,0
306,3,1509,1032,477,180,832,200,752,80,100,100,0,0,0,90,0,10,20,30,10,8,123,20,0,0,0,2,0,0,0,0,0,16,20,128,0
309,1,1126,909,217,50,549,360,499,50,360,0,0,0,0,55,0,0,5,22,4,12,0,12,0,0,0,1,2,0,0,0,0,10,6,88,0
310,1,229,137,92,0,137,0,137,0,0,0,0,0,0,10,0,0,0,5,0,0,38,0,0,0,0,0,0,0,0,0,0,2,0,37,0
312,1,248,248,0,248,40,208,0,40,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,2,529,344,185,0,344,0,344,0,0,0,0,0,0,20,0,0,20,5,0,0,70,0,0,0,0,1,0,0,0,0,0,5,20,44,0
