鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,急性後期照護病床,整合醫學急診後送病床,戒護病床,司法精神病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床
101,5,1298,849,449,153,746,103,696,50,0,103,0,0,0,59,0,0,31,51,0,0,84,0,0,0,0,10,0,0,0,0,0,0,19,57,138,0
102,6,1798,1300,498,0,1300,0,1300,0,0,0,0,0,0,96,0,4,23,59,0,0,37,8,0,0,0,18,30,0,0,0,0,0,41,50,132,0
109,1,3058,2301,757,498,2168,133,1803,365,0,133,0,0,0,128,0,0,30,80,11,27,179,0,12,14,0,33,0,0,0,0,0,0,26,50,167,0
110,4,1118,790,328,0,790,0,790,0,0,0,0,0,0,100,0,8,55,39,0,0,0,0,0,10,0,2,2,0,0,0,0,0,16,48,48,0
111,4,2247,1622,625,118,1622,0,1504,118,0,0,0,0,0,142,8,6,26,57,2,15,112,24,0,0,0,18,2,0,0,40,0,0,20,30,123,0
115,1,829,543,286,25,543,0,518,25,0,0,0,0,0,62,0,3,21,36,0,8,0,8,0,0,0,2,0,0,0,0,0,0,16,25,105,0
116,6,5264,4269,995,704,3985,284,3498,487,67,217,0,0,0,322,14,6,37,89,0,44,32,28,0,78,43,20,18,0,0,0,0,0,71,37,156,0
117,1,738,525,213,25,525,0,500,25,0,0,0,0,0,59,0,0,12,27,0,10,0,6,0,0,0,8,0,0,0,0,0,0,18,10,63,0
118,3,2646,1921,725,68,1921,0,1853,68,0,0,0,0,0,232,10,4,42,120,0,17,0,15,0,94,1,51,8,0,0,0,0,0,59,20,52,0
119,4,409,245,164,0,166,79,166,0,79,0,0,0,0,8,0,0,0,9,0,0,30,0,0,0,0,0,0,0,0,0,0,0,7,3,106,1
120,2,833,577,256,38,577,0,539,38,0,0,0,0,0,50,4,0,10,34,6,10,30,0,0,0,0,11,0,0,0,0,0,0,13,15,73,0
301,9,1081,745,336,30,700,45,670,30,45,0,0,0,0,53,0,0,7,20,10,6,70,9,0,0,0,0,0,0,0,0,0,0,15,28,118,0
302,1,93,54,39,0,54,0,54,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0
303,3,440,380,60,99,325,55,281,44,0,55,0,0,0,21,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,22,1
304,2,450,450,0,450,80,370,0,80,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,1149,857,292,50,795,62,745,50,62,0,0,0,0,85,0,0,16,21,0,10,40,10,0,0,0,0,0,0,0,0,0,0,12,20,78,0
306,3,1497,1010,487,158,810,200,752,58,100,100,0,0,0,90,0,10,20,30,10,8,123,20,0,0,0,2,0,0,0,0,0,0,16,20,138,0
309,1,1126,909,217,50,549,360,499,50,360,0,0,0,0,55,0,0,5,22,4,12,0,12,0,0,0,1,2,0,0,0,0,0,10,6,88,0
310,1,229,137,92,0,137,0,137,0,0,0,0,0,0,10,0,0,0,5,0,0,38,0,0,0,0,0,0,0,0,0,0,0,2,0,37,0
312,1,248,248,0,248,40,208,0,40,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,2,527,344,183,0,344,0,344,0,0,0,0,0,0,20,0,0,12,12,0,0,70,0,0,0,0,1,0,0,0,0,0,0,4,20,44,0
318,2,545,399,146,0,399,0,399,0,0,0,0,0,0,40,0,0,6,10,0,0,30,0,0,0,0,0,0,0,0,0,0,0,6,9,45,0
319,4,1180,968,212,304,818,150,664,154,0,150,0,0,0,65,0,0,3,35,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,3,91,0
320,4,853,647,206,0,647,0,647,0,0,0,0,0,0,40,0,0,10,19,4,0,0,10,0,0,0,2,0,0,0,0,0,0,12,9,100,0
322,3,505,331,174,0,331,0,331,0,0,0,0,0,0,34,0,0,9,10,8,0,63,0,0,0,0,1,0,0,0,0,0,0,5,15,29,0
323,3,259,114,145,0,114,0,114,0,0,0,0,0,0,0,0,0,16,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,38,69,0
324,3,1035,828,207,440,478,350,388,90,0,350,0,0,0,30,0,0,7,6,4,10,30,6,0,0,0,20,0,0,42,0,0,0,6,10,36,0
325,4,1528,1138,390,218,999,139,920,79,0,139,0,0,0,113,0,5,30,36,11,20,20,20,0,0,2,11,2,0,0,0,0,0,23,25,72,0
326,7,2763,1923,840,295,1713,210,1628,85,0,210,0,0,0,195,0,10,58,64,0,18,56,58,0,0,0,6,2,0,0,100,0,0,48,50,175,0
327,3,2431,1610,821,70,1610,0,1540,70,0,0,0,0,0,208,0,8,40,100,19,22,40,22,0,0,14,23,4,0,0,125,0,0,50,41,105,0
328,4,821,570,251,0,570,0,570,0,0,0,0,0,0,35,0,0,17,18,2,0,60,10,0,0,2,1,0,0,0,0,0,0,8,33,65,0
329,4,179,127,52,0,127,0,127,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,15,0
501,4,435,289,146,100,189,100,189,0,0,100,0,0,0,14,0,0,0,11,0,0,67,0,0,0,0,0,0,0,0,0,0,0,4,0,50,0
504,1,383,298,85,0,298,0,298,0,0,0,0,0,0,22,0,0,5,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,12,30,0
