年份,鄉鎮市區碼,區域名稱,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,手術恢復床,嬰兒床,血液透析床,燒傷加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,腹膜透析床,急性後期照護病床,整合醫學急診後送病床,戒護病床,司法精神病床
101年,101,松山區,6,1434,938,496,189,799,139,749,50,0,139,0,0,0,57,0,37,69,0,0,84,0,0.0,0,15,92,142,,,,,,,,,,,
101年,102,大安區,5,1450,1066,384,0,1066,0,1066,0,0,0,0,0,0,60,4,23,63,3,0,37,0,0.0,0,19,52,123,,,,,,,,,,,
101年,109,大同區,2,3533,2663,870,594,2488,175,2069,419,0,175,0,0,0,182,2,40,136,12,20,186,40,0.0,0,29,70,153,,,,,,,,,,,
101年,110,中山區,4,1371,873,498,0,853,20,853,0,20,0,0,0,0,98,8,60,40,0,0,125,10,0.0,0,10,76,71,,,,,,,,,,,
101年,111,內湖區,3,2185,1632,553,118,1632,0,1514,118,0,0,0,0,0,121,11,46,49,23,15,72,24,0.0,0,40,46,106,,,,,,,,,,,
101年,112,南港區,1,35,30,5,0,30,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,
101年,115,士林區,1,919,586,333,25,586,0,561,25,0,0,0,0,0,74,4,25,61,0,0,0,0,0.0,0,15,49,105,,,,,,,,,,,
101年,116,北投區,5,5020,4204,816,600,3896,308,3513,383,91,217,0,0,0,331,10,41,103,6,36,54,28,0.0,0,52,39,116,,,,,,,,,,,
101年,117,信義區,2,837,545,292,25,545,0,520,25,0,0,0,0,0,59,0,17,21,0,20,72,15,0.0,0,13,15,60,,,,,,,,,,,
101年,118,中正區,3,2672,2066,606,68,2066,0,1998,68,0,0,0,0,0,240,14,48,122,6,17,0,15,0.0,0,54,20,70,,,,,,,,,,,
101年,119,萬華區,5,514,338,176,0,238,100,238,0,100,0,0,0,0,14,0,0,10,2,0,0,0,0.0,0,4,16,130,,,,,,,,,,,
101年,120,文山區,2,849,592,257,38,592,0,554,38,0,0,0,0,0,50,4,10,30,6,10,60,10,0.0,0,8,15,54,,,,,,,,,,,
101年,3101,板橋區,8,1649,966,683,28,966,0,938,28,0,0,0,0,0,94,4,22,56,8,0,200,46,0.0,0,16,35,202,,,,,,,,,,,
101年,3102,三重區,5,815,461,354,0,461,0,461,0,0,0,0,0,0,44,0,0,43,7,0,154,0,0.0,0,7,6,93,,,,,,,,,,,
101年,3103,永和區,4,535,310,225,0,310,0,310,0,0,0,0,0,0,24,0,8,13,3,0,87,0,0.0,0,7,32,51,,,,,,,,,,,
101年,3104,中和區,7,1202,825,377,35,825,0,790,35,0,0,0,0,0,66,0,12,42,6,10,114,0,0.0,0,13,28,86,,,,,,,,,,,
101年,3105,新店區,6,2204,1529,675,240,1188,341,1089,99,200,141,0,0,0,150,0,28,87,10,35,103,40,0.0,0,36,48,138,,,,,,,,,,,
101年,3106,新莊區,8,1732,1262,470,252,740,522,670,70,40,182,0,300,0,43,0,7,48,12,0,255,0,0.0,0,3,13,89,,,,,,,,,,,
101年,3107,樹林區,1,213,148,65,0,148,0,148,0,0,0,0,0,0,12,0,0,8,2,0,20,0,0.0,0,1,0,22,,,,,,,,,,,
101年,3108,鶯歌區,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,
101年,3109,三峽區,3,593,430,163,51,342,88,342,0,37,51,0,0,0,36,0,15,33,7,0,0,0,0.0,0,11,25,36,,,,,,,,,,,
101年,3110,淡水區,5,2031,1796,235,947,963,833,849,114,0,833,0,0,0,59,0,15,35,3,38,0,10,0.0,0,12,10,53,,,,,,,,,,,
101年,3111,汐止區,1,626,465,161,25,465,0,440,25,0,0,0,0,0,37,0,12,31,6,13,0,0,0.0,0,10,16,36,,,,,,,,,,,
101年,3112,瑞芳區,1,45,39,6,0,39,0,39,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0.0,0,1,0,0,,,,,,,,,,,
101年,3113,土城區,4,355,155,200,0,155,0,155,0,0,0,0,0,0,10,0,0,5,0,0,168,0,0.0,0,2,0,15,,,,,,,,,,,
101年,3114,蘆洲區,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,3,1,0,17,0,0.0,0,0,0,0,,,,,,,,,,,
101年,3121,三芝區,1,85,85,0,85,0,85,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,
101年,3123,八里區,1,503,500,3,500,100,400,0,100,0,400,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,
