機構名稱,地址,電話,經度,緯度,區域
醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市板橋區南雅南路2段21號,02-89667000,121.452311,24.997313,板橋
中英醫療社團法人中英醫院,新北市板橋區文化路一段196號1~4樓,02-22563584,121.466262,25.019884,板橋
中英醫療社團法人板英醫院,新北市板橋區文化路1段267、269、271號1~4樓,02-82513923,121.464638,25.018516,板橋
板橋國泰醫院,新北市板橋區忠孝路5、7、9、11號1~3樓。,02-29583333,121.460085,25.001955,板橋
蕭中正醫院,新北市板橋區南雅南路一段15號之1、17號、19號,02-29687095,121.456472,25.006972,板橋
宏仁醫院,新北市三重區水漾路一段158號,02-29788877,121.48378,25.053965,三重
三重中興醫院,新北市三重區中興北街21號,02-29959680,121.46966,25.046535,三重
永和復康醫院,新北市永和區中和路575．577．579號1~4樓,02-29240925,121.512036,25.003936,永和
怡和醫院,新北市中和區連城路49號1~4樓,02-22450009,121.498506,25.001882,中和
祥顥醫院,新北市新莊區思源路2號1、4、5、6樓,02-29468795,121.460834,25.038661,中和
中祥醫院,新北市中和區中山路2段138號2~4樓、140及142號1~4樓,02-22405055,121.502063,25.003249,中和
衛生福利部雙和醫院(委託臺北醫學大學興建經營),新北市中和區中正路291號醫療大樓地下2層至地上12層,02-22490088,121.494081,24.993745,中和
佛教慈濟醫療財團法人台北慈濟醫院,新北市新店區建國路289號地下1至3樓至地上1至15樓,02-66289779,121.535807,24.98578,新店
天主教耕莘醫療財團法人耕莘醫院,新北市新店區中正路362號,02-22193391,121.535618,24.976083,新店
新北仁康醫院,新北市新店區安康路2段323號1至2樓,02-22152345,121.499651,24.955541,新店
同仁醫院,新北市新店區民權路89號,02-29170201,121.537745,24.982766,新店
豐榮醫院,新北市新店區安德街26巷3號(B棟),02-22122111,121.51157,24.963241,新店
衛生福利部樂生療養院,新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號,02-82006600,,,新莊
益民醫院,新北市新莊區中港路127號1-4樓,02-89911050,121.455215,25.040087,新莊
新泰綜合醫院,新北市新莊區新泰路157號,02-29962121,121.447753,25.036935,新莊
新莊英仁醫院,新北市新莊區大觀街46之2號,02-29916363,121.453811,25.03581,新莊
大順醫院,新北市新莊區中正路215號1~4樓,02-29912637,121.451168,25.035755,新莊
仁愛醫院,新北市樹林區文化街9號地下1、2樓及地上1樓至8樓,02-26834567,121.420039,24.987188,樹林
台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,新北市淡水區民生路45號、民權路47號地下1樓及地上1~7樓,02-28094661,121.460498,25.139534,淡水
廣川醫院,新北市土城區裕民路274、276、278號,02-22617000,121.454999,24.98219,土城
仁安醫院,新北市土城區中央路1段62、64號1~5樓、中華路1段1號2~5樓、3號1~5樓,02-22627088,121.447391,24.989508,土城
恩樺醫院,新北市土城區中央路1段7之18號1至10樓,02-22639955,121.448745,24.991183,土城
元復醫院,新北市土城區中央路2段318、320、322、324號1~4樓,02-22661886,121.440215,24.972515,土城
全民醫院,新北市三重區三和路四段103之2號、103之2號2樓、103之2號3樓,02-22821575,121.486939,25.076871,三重
國立台灣大學醫學院附設醫院,臺北市中正區中山南路7、8號；常德街1號,(02)23123456,,,
臺北市立聯合醫院,臺北市大同區鄭州路145號,(02)25523234,,,
三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,(02)27462151,,,
博仁綜合醫院,臺北市松山區光復北路66號、68號,(02)25786677,,,
秀傳醫院,臺北市大安區光復南路116巷1、3、5號,(02)27717172,,,
同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段606巷6號,(02)23059292,,,
臺北醫學大學附設醫院,臺北市信義區吳興街252號、250號,(02)27372181,,,
新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號及士商路51號,(02)28332211,,,
臺北榮民總醫院,臺北市北投區石牌路二段201號、322號,(02)28712121,,,
臺北市立關渡醫院─委託臺北榮民總醫院經營,臺北市北投區知行路二二五巷12號,(02)28587000,,,
三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,(02)87923311,,,
康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,(02)26345500,,,
景美醫院,臺北市文山區羅斯福路六段280號、文山區育英街2巷18號、文山區羅斯福路六段276巷1號1樓,(02)29331010,,,
國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段266巷6號，280號,(02)27082121,,,
