"area","hosp_name","hosp_addr","tel","twd97x","twd97y","wgs84ax","wgs84ay"
"板橋","醫療財團法人徐元智先生醫藥基金會亞東紀念醫院","新北市板橋區南雅南路2段21號","02-89667000","295657.65","2765556.15","121.45231100","24.99731300"
"板橋","中英醫療社團法人中英醫院","新北市板橋區文化路一段196號1~4樓","02-22563584","297057.28","2768060.95","121.46626200","25.01988400"
"板橋","中英醫療社團法人板英醫院","新北市板橋區文化路1段267、269、271號1~4樓","02-82513923","296893.92","2767908.89","121.46463800","25.01851600"
"板橋","板橋國泰醫院","新北市板橋區忠孝路5、7、9、11號1~3樓。","02-29583333","296440.59","2766073","121.46008500","25.00195500"
"板橋","蕭中正醫院","新北市板橋區南雅南路一段15號之1、17號、19號","02-29687095","296074.07","2766627.4","121.45647200","25.00697200"
"三重","宏仁醫院","新北市三重區水漾路一段158號","02-29788877","298811.79","2771842.14","121.48378000","25.05396500"
"三重","三重中興醫院","新北市三重區中興北街21號","02-29959680","297390.01","2771014.11","121.46966000","25.04653500"
"永和","永和復康醫院","新北市永和區中和路575．577．579號1~4樓","02-29240925","301683.79","2766311.2","121.51203600","25.00393600"
"中和","怡和醫院","新北市中和區連城路49號1~4樓","02-22450009","300318.84","2766078.58","121.49850600","25.00188200"
"中和","祥顥醫院","新北市新莊區思源路2號1、4、5、6樓","02-29468795","296502.39","2770138.96","121.46083400","25.03866100"
"中和","中祥醫院","新北市中和區中山路2段138號2~4樓、140及142號1~4樓","02-22405055","300677.35","2766231.3","121.50206300","25.00324900"
"中和","衛生福利部雙和醫院(委託臺北醫學大學興建經營)","新北市中和區中正路291號醫療大樓地下2層至地上12層","02-22490088","299875.54","2765175.7","121.49408100","24.99374500"
"新店","佛教慈濟醫療財團法人台北慈濟醫院","新北市新店區建國路289號地下1至3樓至地上1至15樓","02-66289779","304091.16","2764309.46","121.53580700","24.98578000"
"新店","天主教耕莘醫療財團法人耕莘醫院","新北市新店區中正路362號","02-22193391","304076.34","2763235.3","121.53561800","24.97608300"
"新店","新北仁康醫院","新北市新店區安康路2段323號1至2樓","02-22152345","300453.32","2760946.14","121.49965100","24.95554100"
"新店","同仁醫院","新北市新店區民權路89號","02-29170201","304288.1","2763976.4","121.53774500","24.98276600"
"新店","豐榮醫院","新北市新店區安德街26巷3號(B棟)","02-22122111","301653.74","2761803.46","121.51157000","24.96324100"
"新莊","衛生福利部樂生療養院","新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號","02-82006600","0","0","",""
"新莊","益民醫院","新北市新莊區中港路127號1-4樓","02-89911050","295934.89","2770294.96","121.45521500","25.04008700"
"新莊","新泰綜合醫院","新北市新莊區新泰路157號","02-29962121","295182.99","2769943.38","121.44775300","25.03693500"
"新莊","新莊英仁醫院","新北市新莊區大觀街46之2號","02-29916363","295794.71","2769820.8","121.45381100","25.03581000"
"新莊","大順醫院","新北市新莊區中正路215號1~4樓","02-29912637","295528.08","2769813.81","121.45116800","25.03575500"
"樹林","仁愛醫院","新北市樹林區文化街9號地下1、2樓及地上1樓至8樓","02-26834567","292403.4","2764424.17","121.42003900","24.98718800"
"淡水","台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院","新北市淡水區民生路45號、民權路47號地下1樓及地上1~7樓","02-28094661","296430.44","2781312.11","121.46049800","25.13953400"
"土城","廣川醫院","新北市土城區裕民路274、276、278號","02-22617000","295934.59","2763882.01","121.45499900","24.98219000"
"土城","仁安醫院","新北市土城區中央路1段62、64號1~5樓、中華路1段1號2~5樓、3號1~5樓","02-22627088","295163.87","2764690.03","121.44739100","24.98950800"
"土城","恩樺醫院","新北市土城區中央路1段7之18號1至10樓","02-22639955","295299.9","2764876.03","121.44874500","24.99118300"
"土城","元復醫院","新北市土城區中央路2段318、320、322、324號1~4樓","02-22661886","294445.48","2762805.44","121.44021500","24.97251500"
"三重","全民醫院","新北市三重區三和路四段103之2號、103之2號2樓、103之2號3樓","02-22821575","299121.45","2774380.54","121.48693900","25.07687100"
