area,hosp_name,hosp_addr,tel,twd97x,twd97y,wgs84ax,wgs84ay
板橋,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市板橋區南雅南路2段21號,,295657.65,2765556.15,121.452311,24.997313
板橋,中英醫療社團法人中英醫院,新北市板橋區文化路一段196號,,297057.28,2768060.95,121.466262,25.019884
板橋,中英醫療社團法人板英醫院,新北市板橋區文化路1段267、269、271號,,296893.92,2767908.89,121.464638,25.018516
板橋,板橋國泰醫院,新北市板橋區忠孝路5、7、9、11號,,296440.59,2766073.0,121.460085,25.001955
板橋,蕭中正醫院,新北市板橋區南雅南路一段15號,,296074.07,2766627.4,121.456472,25.006972
三重,宏仁醫院,新北市三重區水漾路一段158號,,298811.79,2771842.14,121.48378,25.053965
三重,三重中興醫院,新北市三重區中興北街21號,,297390.01,2771014.11,121.46966,25.046535
永和,永和復康醫院,新北市永和區中和路575．577．579號,,301683.79,2766311.2,121.512036,25.003936
中和,怡和醫院,新北市中和區連城路49號,,300318.84,2766078.58,121.498506,25.001882
中和,祥顥醫院,新北市新莊區思源路2號,,296502.39,2770138.96,121.460834,25.038661
中和,中祥醫院,新北市中和區中山路2段138號,,300677.35,2766231.3,121.502063,25.003249
中和,衛生福利部雙和醫院(委託臺北醫學大學興建經營),新北市中和區中正路291號,,299875.54,2765175.7,121.494081,24.993745
新店,佛教慈濟醫療財團法人台北慈濟醫院,新北市新店區建國路289號,,304091.16,2764309.46,121.535807,24.98578
新店,天主教耕莘醫療財團法人耕莘醫院,新北市新店區中正路362號,,304076.34,2763235.3,121.535618,24.976083
新店,新北仁康醫院,新北市新店區安康路2段323號,,300453.32,2760946.14,121.499651,24.955541
新店,同仁醫院,新北市新店區民權路89號,,304288.1,2763976.4,121.537745,24.982766
新店,豐榮醫院,新北市新店區安德街26巷3號,,301653.74,2761803.46,121.51157,24.963241
新莊,益民醫院,新北市新莊區中港路127號,,295934.89,2770294.96,121.455215,25.040087
新莊,新泰綜合醫院,新北市新莊區新泰路157號,,295182.99,2769943.38,121.447753,25.036935
新莊,新莊英仁醫院,新北市新莊區大觀街46之2號,,295794.71,2769820.8,121.453811,25.03581
新莊,大順醫院,新北市新莊區中正路215號,,295528.08,2769813.81,121.451168,25.035755
樹林,仁愛醫院,新北市樹林區文化街9號,,292403.4,2764424.17,121.420039,24.987188
淡水,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,新北市淡水區民生路45號,,296430.44,2781312.11,121.460498,25.139534
土城,廣川醫院,新北市土城區裕民路274、276、278號,,295934.59,2763882.01,121.454999,24.98219
土城,仁安醫院,新北市土城區中央路1段62、64號,,295163.87,2764690.03,121.447391,24.989508
土城,恩樺醫院,新北市土城區中央路1段7之18號,,295299.9,2764876.03,121.448745,24.991183
土城,元復醫院,新北市土城區中央路2段318、320、322、324號,,294445.48,2762805.44,121.440215,24.972515
三重,全民醫院,新北市三重區三和路四段103之2號,,299121.45,2774380.54,121.486939,25.076871
