機構名稱,地址,電話,latitude,longitude
國立台灣大學醫學院附設醫院,臺北市中正區中山南路7、8號,,25.04536,121.517564
臺北市立聯合醫院,臺北市大同區鄭州路145號,,25.050693,121.508885
三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,,25.05394,121.557702
博仁綜合醫院,臺北市松山區光復北路66號,,25.049959,121.560387
秀傳醫院,臺北市大安區光復南路116巷1、3、5號,,25.03982,121.55571
同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段606巷6號,,25.024051,121.509823
臺北醫學大學附設醫院,臺北市信義區吳興街252號,,25.026639,121.563635
新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,,25.09625,121.520986
臺北榮民總醫院,臺北市北投區石牌路二段201號,,25.120637,121.522479
臺北市立關渡醫院─委託臺北榮民總醫院經營,臺北市北投區知行路二二五巷12號,,25.120272,121.467085
三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號,,25.071802,121.591979
康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,,25.075952,121.608779
景美醫院,臺北市文山區羅斯福路六段280號,,24.991089,121.53983
國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段266巷6號,,25.037179,121.552799
