"年份","65歲之平均餘命/總計(歲)","65歲之平均餘命/女(歲)","80歲之平均餘命/總計(歲)","65歲以上死亡人數/惡性腫瘤/女(人)","65歲以上死亡人數/心臟疾病/總計(人)","65歲以上死亡人數/心臟疾病/男(人)","65歲以上死亡人數/腦血管疾病/總計(人)","65歲以上死亡人數/腦血管疾病/女(人)","65歲以上死亡人數/非疾病/女","65歲以上死亡人數/事故傷害/總計(人)","65歲以上死亡人數/事故傷害/男(人)","65歲以上死亡人數/蓄意自我傷害/男(人)"
"99年",21.32,22.65,10.87,1173,1359,767,878,399,87,154,96,68
"100年",21.47,23.06,10.94,1211,1550,874,955,390,104,206,119,55
"101年",21.40,23.14,10.78,1286,1623,925,1019,458,119,234,137,43
"102年",21.61,23.47,10.87,1277,1649,919,1007,446,116,233,142,48
"103年",21.80,23.64,10.93,1333,1998,1102,992,433,120,248,153,63
"104年",22.09,23.97,11.11,1396,1934,1070,965,435,115,241,153,57
"105年",22.01,23.87,10.99,1510,2096,1148,1022,458,135,256,154,68
"106年",22.15,23.98,11.02,1537,2251,1213,996,438,122,218,131,56
"107年",22.16,23.96,10.97,1566,2537,1360,967,421,146,269,161,65
"108年",22.36,24.14,11.06,1607,2333,1182,955,447,121,208,123,57
"109年",22.58,24.42,11.22,1628,2313,1201,854,376,138,215,126,59
