"year","life_expectancy_65_total","life_expectancy_80_total","deaths_65_cancer_total","deaths_65_heart_disease_total","deaths_65_cerebrovascular_disease_total","deaths_65_accidents_total"
"99",21.32,10.87,1173,1359,878,154
"100",21.47,10.94,1211,1550,955,206
"101",21.40,10.78,1286,1623,1019,234
"102",21.61,10.87,1277,1649,1007,233
"103",21.80,10.93,1333,1998,992,248
"104",22.09,11.11,1396,1934,965,241
"105",22.01,10.99,1510,2096,1022,256
"106",22.15,11.02,1537,2251,996,218
"107",22.16,10.97,1566,2537,967,269
"108",22.36,11.06,1607,2333,955,208
"109",22.58,11.22,1628,2313,854,215 
