項次,西元年,民國年,性別,年齡,死亡機率
1,2024,113,總計,0歲,0.00406
2,2024,113,男性,0歲,0.00438
3,2024,113,女性,0歲,0.00375
4,2024,113,總計,1歲,0.00027
5,2024,113,男性,1歲,0.00034
6,2024,113,女性,1歲,0.00021
7,2024,113,總計,2歲,0.00019
8,2024,113,男性,2歲,0.00021
9,2024,113,女性,2歲,0.00016
10,2024,113,總計,3歲,0.00014
11,2024,113,男性,3歲,0.00015
12,2024,113,女性,3歲,0.00014
13,2024,113,總計,4歲,0.00012
14,2024,113,男性,4歲,0.00012
15,2024,113,女性,4歲,0.00012
16,2024,113,總計,5歲,0.00011
17,2024,113,男性,5歲,0.00011
18,2024,113,女性,5歲,0.0001
19,2024,113,總計,6歲,0.0001
20,2024,113,男性,6歲,0.00011
21,2024,113,女性,6歲,9E-05
22,2024,113,總計,7歲,9E-05
23,2024,113,男性,7歲,0.0001
24,2024,113,女性,7歲,8E-05
25,2024,113,總計,8歲,8E-05
26,2024,113,男性,8歲,9E-05
27,2024,113,女性,8歲,7E-05
28,2024,113,總計,9歲,8E-05
29,2024,113,男性,9歲,8E-05
30,2024,113,女性,9歲,7E-05
31,2024,113,總計,10歲,8E-05
32,2024,113,男性,10歲,8E-05
33,2024,113,女性,10歲,8E-05
34,2024,113,總計,11歲,9E-05
35,2024,113,男性,11歲,9E-05
36,2024,113,女性,11歲,9E-05
37,2024,113,總計,12歲,0.00011
38,2024,113,男性,12歲,0.00011
39,2024,113,女性,12歲,0.0001
40,2024,113,總計,13歲,0.00014
41,2024,113,男性,13歲,0.00015
42,2024,113,女性,13歲,0.00013
43,2024,113,總計,14歲,0.00019
44,2024,113,男性,14歲,0.00023
45,2024,113,女性,14歲,0.00015
46,2024,113,總計,15歲,0.00024
47,2024,113,男性,15歲,0.00031
48,2024,113,女性,15歲,0.00017
49,2024,113,總計,16歲,0.0003
50,2024,113,男性,16歲,0.0004
51,2024,113,女性,16歲,0.0002
52,2024,113,總計,17歲,0.00035
53,2024,113,男性,17歲,0.00047
54,2024,113,女性,17歲,0.00022
55,2024,113,總計,18歲,0.00039
56,2024,113,男性,18歲,0.00054
57,2024,113,女性,18歲,0.00025
58,2024,113,總計,19歲,0.00042
59,2024,113,男性,19歲,0.00057
60,2024,113,女性,19歲,0.00027
61,2024,113,總計,20歲,0.00044
62,2024,113,男性,20歲,0.0006
63,2024,113,女性,20歲,0.00028
64,2024,113,總計,21歲,0.00045
65,2024,113,男性,21歲,0.00062
66,2024,113,女性,21歲,0.00029
67,2024,113,總計,22歲,0.00046
68,2024,113,男性,22歲,0.00063
69,2024,113,女性,22歲,0.0003
70,2024,113,總計,23歲,0.00047
71,2024,113,男性,23歲,0.00063
72,2024,113,女性,23歲,0.00032
73,2024,113,總計,24歲,0.00048
74,2024,113,男性,24歲,0.00063
75,2024,113,女性,24歲,0.00032
76,2024,113,總計,25歲,0.00048
77,2024,113,男性,25歲,0.00062
78,2024,113,女性,25歲,0.00033
79,2024,113,總計,26歲,0.00048
80,2024,113,男性,26歲,0.00062
81,2024,113,女性,26歲,0.00034
82,2024,113,總計,27歲,0.00049
83,2024,113,男性,27歲,0.00063
84,2024,113,女性,27歲,0.00036
85,2024,113,總計,28歲,0.00051
86,2024,113,男性,28歲,0.00066
87,2024,113,女性,28歲,0.00036
88,2024,113,總計,29歲,0.00054
89,2024,113,男性,29歲,0.00071
90,2024,113,女性,29歲,0.00036
91,2024,113,總計,30歲,0.00057
92,2024,113,男性,30歲,0.00077
93,2024,113,女性,30歲,0.00038
94,2024,113,總計,31歲,0.00062
95,2024,113,男性,31歲,0.00084
96,2024,113,女性,31歲,0.0004
97,2024,113,總計,32歲,0.00067
98,2024,113,男性,32歲,0.00092
99,2024,113,女性,32歲,0.00043
100,2024,113,總計,33歲,0.00073
101,2024,113,男性,33歲,0.00101
102,2024,113,女性,33歲,0.00046
103,2024,113,總計,34歲,0.0008
104,2024,113,男性,34歲,0.0011
105,2024,113,女性,34歲,0.0005
106,2024,113,總計,35歲,0.00088
107,2024,113,男性,35歲,0.00122
108,2024,113,女性,35歲,0.00054
109,2024,113,總計,36歲,0.00097
110,2024,113,男性,36歲,0.00134
111,2024,113,女性,36歲,0.0006
112,2024,113,總計,37歲,0.00107
113,2024,113,男性,37歲,0.00149
114,2024,113,女性,37歲,0.00065
115,2024,113,總計,38歲,0.00118
116,2024,113,男性,38歲,0.00166
117,2024,113,女性,38歲,0.00071
118,2024,113,總計,39歲,0.00131
119,2024,113,男性,39歲,0.00185
120,2024,113,女性,39歲,0.00078
121,2024,113,總計,40歲,0.00145
122,2024,113,男性,40歲,0.00205
123,2024,113,女性,40歲,0.00086
124,2024,113,總計,41歲,0.00161
125,2024,113,男性,41歲,0.00229
126,2024,113,女性,41歲,0.00093
127,2024,113,總計,42歲,0.00178
128,2024,113,男性,42歲,0.00254
129,2024,113,女性,42歲,0.00102
130,2024,113,總計,43歲,0.00197
131,2024,113,男性,43歲,0.00283
132,2024,113,女性,43歲,0.00111
133,2024,113,總計,44歲,0.00219
134,2024,113,男性,44歲,0.00315
135,2024,113,女性,44歲,0.00124
136,2024,113,總計,45歲,0.00239
137,2024,113,男性,45歲,0.00347
138,2024,113,女性,45歲,0.00133
139,2024,113,總計,46歲,0.00265
140,2024,113,男性,46歲,0.00382
141,2024,113,女性,46歲,0.00151
142,2024,113,總計,47歲,0.00287
143,2024,113,男性,47歲,0.00417
144,2024,113,女性,47歲,0.0016
145,2024,113,總計,48歲,0.00311
146,2024,113,男性,48歲,0.00452
147,2024,113,女性,48歲,0.00174
148,2024,113,總計,49歲,0.00337
149,2024,113,男性,49歲,0.00489
150,2024,113,女性,49歲,0.00189
151,2024,113,總計,50歲,0.00364
152,2024,113,男性,50歲,0.00529
153,2024,113,女性,50歲,0.00205
