西元年,年齡段,死亡機率
2025,30歲以下,0.00038866666666666666
2025,30-60歲,0.002668666666666667
2025,60歲以上,0.09010317073170732
2026,30歲以下,0.00036399999999999996
2026,30-60歲,0.002555
2026,60歲以上,0.08910951219512195
2027,30歲以下,0.00035766666666666667
2027,30-60歲,0.0025173333333333337
2027,60歲以上,0.08854121951219512
2028,30歲以下,0.0003526666666666667
2028,30-60歲,0.0024809999999999997
2028,60歲以上,0.08797829268292683
2029,30歲以下,0.000346
2029,30-60歲,0.002445
2029,60歲以上,0.08742097560975609
2030,30歲以下,0.00034
2030,30-60歲,0.0024100000000000002
2030,60歲以上,0.08686878048780487
2031,30歲以下,0.000335
2031,30-60歲,0.0023746666666666664
2031,60歲以上,0.08632048780487804
2032,30歲以下,0.00032900000000000003
2032,30-60歲,0.0023413333333333333
2032,60歲以上,0.08577756097560976
2033,30歲以下,0.0003243333333333333
2033,30-60歲,0.0023066666666666665
2033,60歲以上,0.08523951219512195
2034,30歲以下,0.0003186666666666667
2034,30-60歲,0.002275
2034,60歲以上,0.08470707317073171
2035,30歲以下,0.0003133333333333333
2035,30-60歲,0.002241
2035,60歲以上,0.08417829268292683
