,特材收錄品項表,,,,,,,,,,,,,,,,,,,,,,,,
大類碼,大小類碼,大小類碼名稱,品名碼,功能類別,功能類別名稱,核價類別名稱,特材代碼,中英文品名,中文品名,英文品名,產品型號/規格,單位,支付點數,核定費用,生效日期,事前審查生效日期,事前審查,給付規定代碼,生效迄日,申請者簡稱,許可證字號,自付差額品名,整組組件特材關聯代碼表,給付類別,
'A,'AC, 導管接頭類, 'A01, 'ACA01, 注射帽                       , 注射帽(各類型規格), ACA0100ABNPW, IV CAP," ""普惠""注射帽"," ""PERFECT"" IV LOCK", 'A;BTYPE, EA,3, , 101/01/01, 089/04/01,N,無, 999/12/31, 普惠醫工,衛署醫器製字第000746號,  , , ,
'C,'CE, 導管接頭類, 'E02, 'CEE02, 無針式接頭(含延長管), 無針式接頭/EA, ACA0100CDNPW," ""普惠""注射帽(免針安全型)※給付規定請見備註欄""PERFECT:IV LOCK(SAFETY)"," ""普惠""注射帽(免針安全型)"," ""PERFECT"" IV LOCK(SAFETY)", 'C;D, EA,16.6, , 109/03/01, 102/09/01,N,無, 999/12/31, 普惠醫工,衛署醫器製字第000746號,  , , ,
'C,'CE, 導管接頭類, 'E02, 'CEE02, 無針式接頭(含延長管), 無針式接頭/不含DEHP+與脂質相容  , ACA0100CDVPW," ""普惠""注射帽(免針安全型)""PERFECT""I.V LOCK(NEEDLESS SAFETY)"," ""普惠""注射帽(免針安全型)"," ""PERFECT""I.V LOCK(NEEDLESS SAFETY)", 'C型;D型;(型號重整為TYPE C;TYPE D自1111101生效);(TYPE R;TYPE S自1130501生效), 個,37.7, , 113/05/01, 104/05/01,N,無, 999/12/31, 普惠,衛署醫器輸字第016679號,  , , ,
'A,'AC, 導管接頭類, 'A01, 'ACA01, 注射帽                       , 注射帽(各類型規格), ACA01AB00NPW," ""普惠""注射帽""PERFECT""I.V LOCK"," ""普惠""注射帽"," ""PERFECT""I.V LOCK", 'A型、B型；(型號重整為TYPE A;TYPE B自1111101生效), 個,3, , 111/11/01, 096/01/01,N,無, 999/12/31, 普惠,衛署醫器輸字第016679號,  , , ,
'A,'AC, 導管接頭類, 'A01, 'ACA01, 注射帽                       , 注射帽(各類型規格), ACA01C1C02LL, INJECTION CUP(IV LOCK)," ""怡安""注射帽"," ""LILY""INJECTION CAP(IV LOCK)", 'CIC-001:CIC-004, EA,3, , 101/01/01, 090/10/01,N,無, 999/12/31, 怡安,衛署醫器製字第000896號,  , , ,
'C,'CE, 導管接頭類, 'E02, 'CEE02, 無針式接頭(含延長管), 無針式接頭/不含DEHP+與脂質相容  , ACA01NF005LL," ""怡安"" 輸液套留置蓋(安全型)""LILY"" INJECTION CAP"," ""怡安"" 輸液套留置蓋(安全型)"," ""LILY"" INJECTION CAP", 'CIC-005S, 個,37.7, , 109/03/01, 096/01/01,N,無, 999/12/31, 怡安,衛署醫器製字第000896號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , 三路活塞接頭, ACC02VP004LL, 3 WAY," ""怡安""中央靜脈壓測量套:三路活塞"," ""LILY"" CVP-SCALE SYSTEM:3 WAY STOPCOCK", 'CVP-004, EA,7, , 112/02/01, 091/01/01,N,無, 999/12/31, 怡安,衛署醫器製字第000924號,  , , ,
'A,'AC, 導管接頭類, 'M01, 'ACM01, 多路連接頭, 多路連接頭/2-PORTS, ACM0101285BB, ANGIODYN HIGHT PRESSURE MANIFOLDS STOPCOCKS DOUBLE PORTS 500PSI 1000PSI," ""柏朗""多管道接頭:多路連接頭(2路)"," ""B.BRAUN""ANGIODYN MANIFOLDS/STOPCOCKS:2 PORT", '5012155;5012163;5012759;5012783;5012031;5012112;5012015;5012104;5012199, EA,179, , 110/02/01, 097/04/01,N,無, 999/12/31, 台灣柏朗,衛署醫器輸字第018360號,  , , ,
'A,'AC, 導管接頭類, 'M01, 'ACM01, 多路連接頭, 多路連接頭/3-PORTS, ACM0101286BB, ANGIODYN HIGHT PRESSURE MANIFOLDS STOPCOCKS TRIPLE PORTS 500PSI 1000PSI," ""柏朗""多管道接頭:多路連接頭(3路)"," ""B.BRAUN""ANGIODYN MANIFOLDS/STOPCOCKS:3 PORTS", '5012813;5012848;5012074;5012066;5012893;5012094, EA,200, , 108/02/01, 097/04/01,N,無, 999/12/31, 台灣柏朗,衛署醫器輸字第018360號,  , , ,
