diagnosis_year,gender,city,cancer_type,age_standardized_incidence_rate,cancer_cases,average_age,median_age,crude_rate
1979年,男,台北市,口腔、口咽及下咽,4.34,42,51.31,55.0,3.68
1979年,男,台北市,主唾液腺,0.61,5,64.0,65.0,0.44
1979年,男,台北市,鼻咽,11.07,113,46.29,47.0,9.91
1979年,男,台北市,食道,7.58,62,62.11,64.5,5.44
1979年,男,台北市,胃,28.99,257,59.04,60.0,22.54
1979年,男,台北市,小腸,0.55,5,59.2,58.0,0.44
1979年,男,台北市,結直腸,22.59,199,56.5,59.0,17.46
1979年,男,台北市,肝及肝內膽管,20.58,208,53.38,55.0,18.25
1979年,男,台北市,膽囊及肝外膽管,0.86,8,61.5,60.5,0.7
1979年,男,台北市,胰,3.44,30,61.57,62.0,2.63
1979年,男,台北市,後腹膜腔及腹膜,0.42,4,35.0,35.0,0.35
1979年,男,台北市,鼻腔、中耳及副鼻竇,1.78,14,60.36,60.0,1.23
1979年,男,台北市,喉,2.59,24,61.04,61.5,2.11
1979年,男,台北市,肺、支氣管及氣管,31.57,270,59.76,61.0,23.68
1979年,男,台北市,胸腺、心臟與中隔,0.85,9,48.0,51.0,0.79
1979年,男,台北市,骨、關節及關節軟骨,0.92,10,40.1,42.5,0.88
1979年,男,台北市,結締組織、皮下組織及其他軟組織,1.05,11,39.0,36.0,0.96
1979年,男,台北市,皮膚,3.88,31,58.1,60.0,2.72
1979年,男,台北市,男性乳房,0.08,1,56.0,56.0,0.09
1979年,男,台北市,攝護腺,2.39,21,61.71,61.0,1.84
1979年,男,台北市,睪丸,0.5,6,11.5,2.0,0.53
1979年,男,台北市,其他男性生殖器官,0.74,6,57.5,61.5,0.53
1979年,男,台北市,膀胱,6.33,56,58.71,57.0,4.91
1979年,男,台北市,腎,1.44,13,60.38,61.0,1.14
1979年,男,台北市,腎盂及其他泌尿系統,1.12,11,59.36,61.0,0.96
1979年,男,台北市,眼及淚腺,0.2,2,47.0,47.0,0.18
1979年,男,台北市,腦,2.49,27,37.07,41.0,2.37
1979年,男,台北市,其他神經系統,0.07,1,21.0,21.0,0.09
1979年,男,台北市,甲狀腺,0.68,8,34.25,26.0,0.7
1979年,男,台北市,其他內分泌腺,0.18,1,71.0,71.0,0.09
1979年,男,台北市,其他分界不明的部位,0.75,7,44.0,42.0,0.61
1979年,男,台北市,不明原發部位,3.62,35,55.35,57.5,3.07
1979年,男,台北市,何杰金氏淋巴瘤,0.25,3,25.0,18.0,0.26
1979年,男,台北市,白血病,3.82,45,27.49,21.0,3.95
1979年,男,台北市,非何杰金氏淋巴瘤,0.61,5,61.8,57.0,0.44
1979年,男,台北市,漿細胞瘤,0.68,7,60.29,61.0,0.61
1979年,男,台北市,全癌症,175.28,1613,54.65,57.0,141.5
1979年,女,台北市,口腔、口咽及下咽,3.36,23,53.26,56.0,2.18
1979年,女,台北市,主唾液腺,0.59,5,43.4,42.0,0.47
1979年,女,台北市,鼻咽,5.34,44,44.91,43.0,4.17
1979年,女,台北市,食道,2.61,16,60.69,62.0,1.51
1979年,女,台北市,胃,13.1,82,58.94,60.0,7.76
1979年,女,台北市,小腸,0.71,5,52.2,55.0,0.47
1979年,女,台北市,結直腸,19.29,129,55.13,56.5,12.21
1979年,女,台北市,肝及肝內膽管,5.96,38,53.08,57.0,3.6
1979年,女,台北市,膽囊及肝外膽管,1.07,7,57.29,61.0,0.66
1979年,女,台北市,胰,1.45,10,53.6,55.5,0.95
1979年,女,台北市,後腹膜腔及腹膜,0.08,1,19.0,19.0,0.09
1979年,女,台北市,消化器官其他分界不明部位,0.48,2,77.5,77.5,0.19
1979年,女,台北市,鼻腔、中耳及副鼻竇,0.29,2,54.0,54.0,0.19
1979年,女,台北市,喉,0.29,2,57.5,57.5,0.19
1979年,女,台北市,肺、支氣管及氣管,13.44,86,57.86,59.0,8.14
1979年,女,台北市,胸膜,0.12,1,42.0,42.0,0.09
1979年,女,台北市,骨、關節及關節軟骨,0.51,5,30.4,35.0,0.47
1979年,女,台北市,結締組織、皮下組織及其他軟組織,0.81,9,29.11,32.0,0.85
1979年,女,台北市,皮膚,1.71,12,52.42,52.5,1.14
1979年,女,台北市,女性乳房,24.98,177,52.33,52.0,16.76
1979年,女,台北市,子宮,0.61,6,31.67,31.5,0.57
1979年,女,台北市,子宮頸,43.72,311,51.98,52.0,29.44
1979年,女,台北市,子宮體,3.19,23,52.39,54.0,2.18
1979年,女,台北市,卵巢、輸卵管及寬韌帶,6.16,49,46.06,48.0,4.64
1979年,女,台北市,其他女性生殖器官,1.8,13,50.31,51.0,1.23
1979年,女,台北市,膀胱,1.69,11,57.0,63.0,1.04
1979年,女,台北市,腎,0.86,6,39.67,49.5,0.57
1979年,女,台北市,腎盂及其他泌尿系統,0.37,2,66.0,66.0,0.19
1979年,女,台北市,眼及淚腺,0.5,4,31.5,32.0,0.38
1979年,女,台北市,腦,1.69,15,31.8,26.0,1.42
1979年,女,台北市,其他神經系統,0.08,1,14.0,14.0,0.09
1979年,女,台北市,甲狀腺,3.52,28,45.0,44.0,2.65
1979年,女,台北市,其他分界不明的部位,0.76,6,47.83,54.0,0.57
1979年,女,台北市,不明原發部位,3.29,24,51.29,54.0,2.27
1979年,女,台北市,白血病,2.96,29,25.66,23.0,2.75
1979年,女,台北市,非何杰金氏淋巴瘤,0.76,5,57.8,56.0,0.47
1979年,女,台北市,漿細胞瘤,0.17,1,64.0,64.0,0.09
1979年,女,台北市,全癌症,171.48,1218,51.08,53.0,115.31
1980年,男,台北市,口腔、口咽及下咽,5.8,53,54.68,54.0,4.61
1980年,男,台北市,主唾液腺,0.92,8,59.75,63.0,0.7
1980年,男,台北市,鼻咽,11.21,117,47.08,49.0,10.18
1980年,男,台北市,食道,10.28,91,59.29,58.0,7.92
